,owner,origen,weapon,platform,total,number,Status,url,primary_key
5039,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,652,['destroyed'],https://i.postimg.cc/YC03VNwN/1012-2x-bmp2-destr-10-12-23.jpg,_e3200199e99c7b7da227
5045,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,658,['destroyed'],https://i.postimg.cc/YC18rzxv/1013-bmp2-destr-27-11-23.jpg,_f32ead213c7d421fd56e
5046,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,659,['destroyed'],https://i.postimg.cc/prpqPN0v/1044-bmp2-destr-19-10-23.jpg,_5b48f30fc28f719f80cf
5047,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,660,['destroyed'],https://i.postimg.cc/rFh1FMVp/1036-bmp2-destr-03-01-24.jpg,_98834c378ac777399275
5048,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,661,['destroyed'],https://i.postimg.cc/Y9Xdc2z8/1005-bmp2-destr-04-12-23.jpg,_5cfe0d9c9449d3815ef6
5056,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,669,['destroyed'],https://i.postimg.cc/26yHvJsF/1000-bmp2-destr-30-03-22.jpg,_5ee018eccb7dca4f3fbd
5081,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,694,['destroyed'],https://i.postimg.cc/PxKjPVvK/1029-bmp2-destr-08-02-23.jpg,_06446d8ca926f95e3ef9
5082,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,695,['destroyed'],https://i.postimg.cc/Ls6q4HLB/1041-2x-bmp2-destr-28-12-23.jpg,_42dfccfa66e6dd3fbe15
5083,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,696,['destroyed'],https://i.postimg.cc/Ls6q4HLB/1041-2x-bmp2-destr-28-12-23.jpg,_45ec005c0d004b4bb15c
5084,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,697,['destroyed'],https://i.postimg.cc/wTr5KfZS/1302-bmp2-destr-28-12-23.jpg,_19d16c1dfacee35cce6c
5087,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,700,['destroyed'],https://i.postimg.cc/wvjfVRQM/1011-bmp2-destr-02-01-24.jpg,_499b42af85159c2b7f6f
5088,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,701,['destroyed'],https://i.postimg.cc/T3KNnqyL/1046-bmp1-destr-28-04-23.jpg,_ffe544445d61277a18b3
5090,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,703,['destroyed'],https://i.postimg.cc/Pqrk8GhN/1006-BMP-2-destr-13-11-23.jpg,_45cf7f9dbbacda04e165
5091,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,704,['destroyed'],https://i.postimg.cc/xjWYpFGF/1008-BMP-2-destr-13-11-23.jpg,_74a6f707f96b9e882809
5092,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,705,['destroyed'],https://i.postimg.cc/25cH1GsW/1021-bmp2-destr-16-11-23.jpg,_1d78f8b63151bc265d8b
5093,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,706,['destroyed'],https://i.postimg.cc/YSnB6XqR/1024-BMP-2-destr-16-11-23.jpg,_f2369fcbf6e0c0168843
5094,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,707,['destroyed'],https://twitter.com/NOELreports/status/1738241582388617560,_05073e1abc91a70dc689
5095,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,708,['destroyed'],https://twitter.com/NOELreports/status/1738241582388617560,_2f629d447447f3f0e513
5096,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,709,['destroyed'],https://i.postimg.cc/4NCqRZTG/1023-bmp2-destr-03-12-23.jpg,_a858dd5b252e96c49ba7
5097,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,710,['destroyed'],https://i.postimg.cc/ZRnzSZGF/1010-bmp2-destr-04-12-23.jpg,_a8832ca572cecaa49c99
5098,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,711,['destroyed'],https://i.postimg.cc/fy04VCTV/1011-bmp2-destr-02-12-23.jpg,_7884a8495e69ba1b2f99
5099,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,712,['destroyed'],https://i.postimg.cc/0y1vJTSP/1012-bmp2-destr-31-10-23.jpg,_009cac0b02185e3d22b2
5100,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,713,['destroyed'],https://i.postimg.cc/Nj8c8d8T/1045-bmp2-destr-15-12-23.jpg,_5abc9388ca50754c1c38
5101,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,714,['destroyed'],https://i.postimg.cc/d04cpDxV/1048-bmp2-destr-13-12-23.jpg,_7aaaf60eaa371fc65e4f
5102,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,715,['destroyed'],https://i.postimg.cc/VNYcKX4h/1053-bmp2-destr-31-03-23.jpg,_f5ee27d7f216e35e68be
5103,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,716,['destroyed'],https://twitter.com/Danspiun/status/1736329445638541369,_d150f7a28fceffb0b361
5104,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,717,['destroyed'],https://twitter.com/Danspiun/status/1736329445638541369,_b125806b240465226ffd
5105,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,718,['destroyed'],https://i.postimg.cc/N0pJ4Nm6/1064-2x-bmp2-destr-30-11-23.jpg,_146433c09166e4a4bbc9
5106,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,719,['destroyed'],https://i.postimg.cc/N0pJ4Nm6/1064-2x-bmp2-destr-30-11-23.jpg,_b80f6b11fb1077929d43
5107,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,720,['destroyed'],https://i.postimg.cc/d1rn6qcz/1003-bmp2-destr-15-12-23.jpg,_4058bda8713312bd0b05
5108,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,721,['destroyed'],https://i.postimg.cc/tTVQCLz6/1066-BMP-2-K-destr-30-03-22.jpg,_403cd8dccde9e7f215d0
5109,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,722,['destroyed'],https://i.postimg.cc/50VB66qf/1101-bmp2-destr-23-12-23.jpg,_4619adac4a6bc1a91284
5110,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,723,['destroyed'],https://i.postimg.cc/g0Fd5ZPy/1002-bmp2-destr-26-04-23.jpg,_993b0dea28400204e625
5111,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,724,['destroyed'],https://i.postimg.cc/vTqbS2QD/1003-bmp2-destr-24-12-23.jpg,_d14f5276bcd9bc7a5ac0
5112,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,725,['destroyed'],https://i.postimg.cc/rFHq1HnP/1004-bmp2-destr-24-12-23.jpg,_a1f0d0b690d858fb0d53
5113,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,726,['destroyed'],https://i.postimg.cc/44BfdyzZ/1006-bmp2-destr-24-12-23.jpg,_8ab100e2d20a62c552f3
5114,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,727,['destroyed'],https://i.postimg.cc/HWZmmKgk/1019-bmp2-destr-20-12-23.jpg,_637500b2b4aacc6e4851
5115,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,728,['destroyed'],https://twitter.com/bayraktar_1love/status/1742568191262388258,_ebe7cf2c100385bef1e5
5116,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,729,['destroyed'],https://i.postimg.cc/W1cPzKbw/1016-2x-bmp2-destr-08-01-24.jpg,_1f519d7adf49d148c549
5117,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,730,['destroyed'],https://i.postimg.cc/W1cPzKbw/1016-2x-bmp2-destr-08-01-24.jpg,_f4f78aa3ea0e096ce674
5118,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,731,['destroyed'],https://i.postimg.cc/B6yzngYT/1000-bmp2-destr-04-04-23.jpg,_b7cf282bbc897236d7d7
5119,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,732,['destroyed'],https://i.postimg.cc/HLvZ6zCq/1003-bmp2-destr-18-11-23.jpg,_28d17d1a5e81125a68b1
5120,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,733,['destroyed'],https://i.postimg.cc/hvd5zd6H/1010-bmp2-destr-06-10-22.jpg,_b51ab264a1f5bde78188
5121,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,734,['destroyed'],https://i.postimg.cc/P54FwhVr/1012-bmp2-destr-08-01-24.jpg,_9d7d01e7c737df903da7
5146,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,25,['damaged'],https://i.postimg.cc/sx548Vzw/1052-bmp2-dam-19-11-23.jpg,_228434d93558185eb68c
5147,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,26,['damaged'],https://twitter.com/666_mancer/status/1729869188200878223,_d10d1fb6292e60714962
5148,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,27,['damaged'],https://twitter.com/NOELreports/status/1737582581040775382,_5a4efdde79a52b1aa580
5149,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,28,['damaged'],https://i.postimg.cc/9XN6K7d4/1044-bmp2-dam-24-12-23.jpg,_9e944e182417a86f3b13
5182,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,33,"['damaged', 'abandoned']",https://i.postimg.cc/qBY4phMt/1063-bmp2-dam-aband-16-12-23.jpg,_7b56da6988b44620301f
5183,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,34,"['damaged', 'abandoned']",https://i.postimg.cc/1XMG7XCY/1037-bmp2-dam-aband-12-12-23.jpg,_9bea08e9c8818de22fbb
5199,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,50,"['damaged', 'abandoned']",https://i.postimg.cc/BvppPf17/1009-bmp2-aband-25-01-23.jpg,_dee77db298e6a92c7293
5210,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,61,['abandoned'],https://i.postimg.cc/k44Hjd9L/3g3.png,_24930e1febc67f9dc714
5212,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,63,"['damaged', 'abandoned']",https://i.postimg.cc/c1RSYb7Q/1005-16-10-23.jpg,_aece7100d4e11616df63
5213,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,64,"['damaged', 'abandoned']",https://i.postimg.cc/FHtWY9Hy/1026-bmp2-dam-aband-24-10-23.jpg,_9ebb27b902643fe7c959
5214,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,65,"['damaged', 'abandoned']",https://i.postimg.cc/fR4pJxQy/1006-bmp2-dam-aband-20-10-23.jpg,_ee2594356da7bec7b683
5215,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,66,['abandoned'],https://i.postimg.cc/5ypV6T1T/1056-bmp2-aband-15-12-23.jpg,_3aeb2f0486b96f73ba30
5220,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,71,"['damaged', 'abandoned']",https://i.postimg.cc/sxqKXn8h/1045-bmp2-dam-aband-19-10-23.jpg,_db9abca3bdc35864a967
5221,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,72,"['damaged', 'abandoned']",https://i.postimg.cc/DzTjLMzQ/1065-bmp2-dam-aband-11-12-23.jpg,_67b9f3572998a73aaab1
5225,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,76,"['damaged', 'abandoned']",https://i.postimg.cc/P5MjxXgB/1022-bmp2-dam-aband-16-11-23.jpg,_10ce4e6aa5768dcf4deb
5226,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,77,"['damaged', 'abandoned']",https://i.postimg.cc/qMDbsMNN/1003-bmp2-dam-aband-07-12-23.jpg,_21d3ffee3b316605feb8
5227,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,78,"['damaged', 'abandoned']",https://i.postimg.cc/Gtqbx9Wm/1061-4x-bmp2-dam-aband-14-12-23.jpg,_89fb87c034568ac74be4
5228,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,79,"['damaged', 'abandoned']",https://i.postimg.cc/Gtqbx9Wm/1061-4x-bmp2-dam-aband-14-12-23.jpg,_fccf7ed648d819d16e3d
5229,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,80,"['damaged', 'abandoned']",https://i.postimg.cc/Gtqbx9Wm/1061-4x-bmp2-dam-aband-14-12-23.jpg,_937fb68f7d65e6b42c67
5230,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,82,"['damaged', 'abandoned']",https://i.postimg.cc/7YZnjtkT/1005-bmp2-dam-aband-20-12-23.png,_3ff718282ae4a3f47465
5231,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,83,"['damaged', 'abandoned']",https://i.postimg.cc/02j8JvfS/1017-bmp2-dam-aband-15-12-23.jpg,_1bdfd2ff8e8016d2deb7
5232,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,84,"['damaged', 'abandoned']",https://i.postimg.cc/wTndym3K/1031-bmp2-dam-aband-24-12-23.jpg,_1b0e7bb27d03dc0fa976
5233,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,85,['abandoned'],https://i.postimg.cc/v8p67wwb/1020-bmp2-aband-26-12-23.jpg,_b4773e651ffa684d3529
5234,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,86,"['damaged', 'abandoned']",https://i.postimg.cc/QC5CYVZs/1012-bmp2-dam-aband-28-12-23.jpg,_9f7f257d425e2cfe2acd
5235,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,87,['abandoned'],https://i.postimg.cc/g0gWjQ0S/1037-bmp2-aband-27-12-23.jpg,_29935f5944a6ce62a88b
5236,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,88,['abandoned'],https://i.postimg.cc/C5cq1sV2/1041-bmp2-aband-02-01-24.jpg,_2182f5f5da08d8df682e
5237,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,89,"['damaged', 'abandoned']",https://i.postimg.cc/SNQLhJp5/1014-bmp2-dam-aband-04-01-24.jpg,_38431e80e00b09468e87
5238,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,90,"['damaged', 'abandoned']",https://i.postimg.cc/T3JS7sdQ/1012-bmp2-and-mtlb-aband-08-01-24.jpg,_8d3ed9a7e15f51bc7104
5239,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,91,"['damaged', 'abandoned']",https://i.postimg.cc/L4Y70c5N/1015-bmp2-dam-aband-03-01-24.jpg,_4d91c4cfbf76d55d08f9
5240,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,92,['abandoned'],https://i.postimg.cc/63TMWgSJ/1016-bmp2-aband-31-12-23.jpg,_438a82793dec26cbea16
5305,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,65,['captured'],https://i.postimg.cc/hP7xJFTW/1017-BMP-2-capt-10-10-23.jpg,_c5b12d40bb7d7f77edb1
5487,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1101,247,['captured'],https://i.postimg.cc/d3r5tKTF/1035-bmp2-capt-07-09-22.jpg,_c0c8eb6ca883dac1dfb7
5500,RU,['Russia'],Infantry Fighting Vehicles,BMP-2M Berezhok,29,13,['destroyed'],https://i.postimg.cc/pLJ3XZk4/1016-BMP-2-M-destr-26-10-23.jpg,_396c83cc9901bda4fbe0
5503,RU,['Russia'],Infantry Fighting Vehicles,BMP-2M Berezhok,29,16,['destroyed'],https://i.postimg.cc/jSHF19mV/1011-bmp2m-destr-22-10-23.jpg,_56cbb8fd1c108a22fbe3
5504,RU,['Russia'],Infantry Fighting Vehicles,BMP-2M Berezhok,29,17,['destroyed'],https://i.postimg.cc/59DdmWt0/1039-BMP-2-M-destr-31-08-23.jpg,_1cd7e42cc3c2826530ba
5505,RU,['Russia'],Infantry Fighting Vehicles,BMP-2M Berezhok,29,18,['destroyed'],https://i.postimg.cc/kMtPSvrN/1039-BMP-2-M-destr-14-11-23.jpg,_a2e6807f7cbef5c76621
5508,RU,['Russia'],Infantry Fighting Vehicles,BMP-2M Berezhok,29,1,"['damaged', 'abandoned']",https://i.postimg.cc/L8Pz5wyS/1005-bmp2m-dam-aband-14-12-23.jpg,_0372a755110d7b8f9b4c
5532,RU,['Russia'],Infantry Fighting Vehicles,BMP-2 675-sb3KDZ,28,16,['destroyed'],https://i.postimg.cc/MHJ9JFjh/1015-BMP-2-675-sb3-KDZ-destr-18-11-23.jpg,_8d9ad5a13984fab6f7cb
5533,RU,['Russia'],Infantry Fighting Vehicles,BMP-2 675-sb3KDZ,28,17,['destroyed'],https://i.postimg.cc/W3k85Fzk/1014-bmp2-765-destr-04-12-23.jpg,_413231fa66402e050334
5534,RU,['Russia'],Infantry Fighting Vehicles,BMP-2 675-sb3KDZ,28,18,['destroyed'],https://i.postimg.cc/90Fb9vVP/1014-bmp2-675-destr-31-10-23.jpg,_076be1e2694e1208219d
5535,RU,['Russia'],Infantry Fighting Vehicles,BMP-2 675-sb3KDZ,28,19,['destroyed'],https://twitter.com/UAWeapons/status/1712552062364561824,_63f64a901f2e95e71258
5536,RU,['Russia'],Infantry Fighting Vehicles,BMP-2 675-sb3KDZ,28,20,['destroyed'],https://twitter.com/UAWeapons/status/1712552062364561824,_e4bb9b42a09b25edc4c1
5537,RU,['Russia'],Infantry Fighting Vehicles,BMP-2 675-sb3KDZ,28,21,['destroyed'],https://i.postimg.cc/XvDD95Pd/1062-bmp1-destr-08-12-23.jpg,_f2e5ce785c53bb738f75
5538,RU,['Russia'],Infantry Fighting Vehicles,BMP-2 675-sb3KDZ,28,22,['destroyed'],https://i.postimg.cc/sf509JVv/1004-BMP-2-675-sb3-KDZ-destr-31-12-22.jpg,_11077a41e65b9cbbb526
5539,RU,['Russia'],Infantry Fighting Vehicles,BMP-2 675-sb3KDZ,28,23,['destroyed'],https://i.postimg.cc/tRmfc0Qh/1021-BMP-2-675-sb3-KDZ-destr-25-12-23.jpg,_1969a81ea7e450bee738
5540,RU,['Russia'],Infantry Fighting Vehicles,BMP-2 675-sb3KDZ,28,1,['damaged'],https://i.postimg.cc/prQqWJfy/1014-BMP-2-675-sb3-KDZ-dam-18-11-23.jpg,_d6877064c55c354c4299
5541,RU,['Russia'],Infantry Fighting Vehicles,BMP-2 675-sb3KDZ,28,2,['damaged'],https://twitter.com/NOELreports/status/1740382512319255035,_9ee7aac8f6de4f75f308
5542,RU,['Russia'],Infantry Fighting Vehicles,BMP-2 675-sb3KDZ,28,1,"['damaged', 'abandoned']",https://twitter.com/Danspiun/status/1732390628149907536,_cadf2ae2467d0aa981f7
5558,RU,['the Soviet Union'],Infantry Fighting Vehicles,Unknown BMP-1/2,140,14,['destroyed'],https://i.postimg.cc/PxHTPj9m/1025-unkn-bmp-destr-26-10-23.jpg,_763c341f4c2772be758a
5562,RU,['the Soviet Union'],Infantry Fighting Vehicles,Unknown BMP-1/2,140,18,['destroyed'],https://i.postimg.cc/wMh7zqpb/1046-mtlb-destr-15-12-23.jpg,_5ad95fb8a0b21ac306ba
5588,RU,['the Soviet Union'],Infantry Fighting Vehicles,Unknown BMP-1/2,140,44,['destroyed'],https://postimg.cc/svJzLwv2,_43a50e0742da7769d5f5
5661,RU,['the Soviet Union'],Infantry Fighting Vehicles,Unknown BMP-1/2,140,117,['destroyed'],https://i.postimg.cc/V6KxYS2V/1046-unkn-bmp-destr-21-12-23.jpg,_ed4ee934cb121e9f1665
5664,RU,['the Soviet Union'],Infantry Fighting Vehicles,Unknown BMP-1/2,140,120,['destroyed'],https://i.postimg.cc/D0zfLVx8/1022-3x-unkn-bmp-destr-30-10-23.jpg,_1d9966eed6ec58ae9ccb
5667,RU,['the Soviet Union'],Infantry Fighting Vehicles,Unknown BMP-1/2,140,123,['destroyed'],https://i.postimg.cc/rspBrM6p/1012-unkn-bmp-destr-28-12-23.jpg,_eef7d31b65ed81e2de69
5668,RU,['the Soviet Union'],Infantry Fighting Vehicles,Unknown BMP-1/2,140,124,['destroyed'],https://i.postimg.cc/Mp0wvpFg/1010-unkn-bmp-destr-31-12-23.jpg,_4b4e50bb4fca40975758
5669,RU,['the Soviet Union'],Infantry Fighting Vehicles,Unknown BMP-1/2,140,125,['destroyed'],https://i.postimg.cc/Kzp9sc0N/1018-unkn-bmp-destr-22-12-23.jpg,_6ef4283dc5ac224dda00
5670,RU,['the Soviet Union'],Infantry Fighting Vehicles,Unknown BMP-1/2,140,126,['destroyed'],https://i.postimg.cc/hjbxFqZc/1016-4x-unkn-bmp-destr-03-01-24.jpg,_c98e17eaa5e4fb258c50
5671,RU,['the Soviet Union'],Infantry Fighting Vehicles,Unknown BMP-1/2,140,127,['destroyed'],https://i.postimg.cc/VsW9pX2n/1034-unkn-bmp-destr-03-01-24.jpg,_7e7e1157934b3dcffe3f
5672,RU,['the Soviet Union'],Infantry Fighting Vehicles,Unknown BMP-1/2,140,128,['destroyed'],https://i.postimg.cc/m27nT7Q9/1021-unkn-bmp-destr-09-01-24.jpg,_d8954cc3abbe9916a648
5673,RU,['the Soviet Union'],Infantry Fighting Vehicles,Unknown BMP-1/2,140,129,['destroyed'],https://i.postimg.cc/Kc60b9Dw/1031-unkn-bmp-destr-14-01-24.jpg,_af01de2d2bae55b522dc
5677,RU,['the Soviet Union'],Infantry Fighting Vehicles,Unknown BMP-1/2,140,1,"['damaged', 'abandoned']",https://i.postimg.cc/nz2SWCgX/31d.png,_34eb68f81a553e3b2ffe
5678,RU,['the Soviet Union'],Infantry Fighting Vehicles,Unknown BMP-1/2,140,2,['abandoned'],https://i.postimg.cc/3RQMCm3n/a2.png,_7027e201f480127edb9d
5679,RU,['the Soviet Union'],Infantry Fighting Vehicles,Unknown BMP-1/2,140,3,"['damaged', 'abandoned']",https://i.postimg.cc/jdKxj2FJ/1019-2x-T64bv-destr-18-07-23.jpg,_1a336167d012e252a78d
5680,RU,['the Soviet Union'],Infantry Fighting Vehicles,Unknown BMP-1/2,140,4,['abandoned'],https://twitter.com/bayraktar_1love/status/1737780638701261204,_a100e72f06045cfb7196
5681,RU,['the Soviet Union'],Infantry Fighting Vehicles,Unknown BMP-1/2,140,5,['abandoned'],https://i.postimg.cc/gj51ZCzy/1045-unkn-bmp-aband-21-12-23.jpg,_1e0a5ee5da1c66755ebf
5682,RU,['the Soviet Union'],Infantry Fighting Vehicles,Unknown BMP-1/2,140,6,['abandoned'],https://i.postimg.cc/jS3frhcn/1011-unkn-tank-and-bmp-aband-29-12-23.jpg,_663ecb07700d318360bc
5683,RU,['the Soviet Union'],Infantry Fighting Vehicles,Unknown BMP-1/2,140,7,['abandoned'],https://i.postimg.cc/L5DzPMjN/1013-unkn-bmp-aband-04-01-24.jpg,_7c461f1dd308165bfefe
5816,RU,['Russia'],Infantry Fighting Vehicles,BMP-3,323,134,['destroyed'],https://i.postimg.cc/NFWv1C8Y/1010-2x-bmp3-1x-destr-1x-dam-aband-08-01-23.jpg,_be7d049c951ae5791b2f
5847,RU,['Russia'],Infantry Fighting Vehicles,BMP-3,323,165,['destroyed'],https://twitter.com/naalsio26/status/1741504161315709212,_01111c055b8a13cd4a30
5882,RU,['Russia'],Infantry Fighting Vehicles,BMP-3,323,202,['destroyed'],https://i.postimg.cc/zGNN8bcC/1011-BMP-3-destr-13-11-23.jpg,_2f999e405303a8a51b9c
5883,RU,['Russia'],Infantry Fighting Vehicles,BMP-3,323,203,['destroyed'],https://i.postimg.cc/Fsc2wmS9/1006-bmp3-destr-27-11-23.jpg,_74aa6d1c60c2917c94d0
5884,RU,['Russia'],Infantry Fighting Vehicles,BMP-3,323,204,['destroyed'],https://twitter.com/NOELreports/status/1730312008036159997,_e16b19c4775e61faac3c
5885,RU,['Russia'],Infantry Fighting Vehicles,BMP-3,323,205,['destroyed'],https://i.postimg.cc/ZR8F3Vrm/1027-bmp3-destr-15-12-23.jpg,_99344474d70bf80387c8
5886,RU,['Russia'],Infantry Fighting Vehicles,BMP-3,323,206,['destroyed'],https://i.postimg.cc/vBMtd7br/1000-BMP-3-destr-23-03-23.jpg,_55b64df3f615a375183a
5887,RU,['Russia'],Infantry Fighting Vehicles,BMP-3,323,207,['destroyed'],https://i.postimg.cc/CMZpVmBG/1003-1x-bmp1-2x-bmp3-destr-06-12-23.jpg,_f2b9d59d138dd7dbff15
5888,RU,['Russia'],Infantry Fighting Vehicles,BMP-3,323,208,['destroyed'],https://twitter.com/Danspiun/status/1732353960256655605,_b5eeed9c3533eb3f5690
5889,RU,['Russia'],Infantry Fighting Vehicles,BMP-3,323,209,['destroyed'],https://i.postimg.cc/8P6DcpjZ/1023-BMP-3-destr-13-12-23.jpg,_c185c565afe49ff21e43
5890,RU,['Russia'],Infantry Fighting Vehicles,BMP-3,323,210,['destroyed'],https://i.postimg.cc/Kjd2fVs7/1026-BMP-3-destr-13-12-23.jpg,_77f04a5c0778ce4bf6f2
5891,RU,['Russia'],Infantry Fighting Vehicles,BMP-3,323,211,['destroyed'],https://twitter.com/Danspiun/status/1736003718909157560,_0d594192930ee6c2064d
5892,RU,['Russia'],Infantry Fighting Vehicles,BMP-3,323,212,['destroyed'],https://i.postimg.cc/RZpPVsTb/1026-bmp3-destr-31-08-23.jpg,_fc5fb0e172d117531462
5893,RU,['Russia'],Infantry Fighting Vehicles,BMP-3,323,213,['destroyed'],https://i.postimg.cc/RhXQNKcF/1001-bmp3-destr-31-08-23.jpg,_5cb83e3a9306492f0042
5894,RU,['Russia'],Infantry Fighting Vehicles,BMP-3,323,214,['destroyed'],https://i.postimg.cc/CLRgxNhH/1018-bmp3-destr-20-12-23.jpg,_c096b32b3852c1eecd0b
5895,RU,['Russia'],Infantry Fighting Vehicles,BMP-3,323,215,['destroyed'],https://i.postimg.cc/02RbMG7N/1047-bmp3-14-12-23.jpg,_a51599362aa65a1b4d77
5896,RU,['Russia'],Infantry Fighting Vehicles,BMP-3,323,216,['destroyed'],https://i.postimg.cc/9f8DrvB3/1045-bmp3-destr-02-12-23.jpg,_5ee8fe63fe42828781ab
5897,RU,['Russia'],Infantry Fighting Vehicles,BMP-3,323,217,['destroyed'],https://i.postimg.cc/7Zzp7KRS/1015-bmp3-destr-31-08-23.jpg,_968427960929781bfb94
5898,RU,['Russia'],Infantry Fighting Vehicles,BMP-3,323,218,['destroyed'],https://i.postimg.cc/VN1HJVSj/1014-bmp3-destr-10-12-23.jpg,_6161f0c25c1c40aea87c
5899,RU,['Russia'],Infantry Fighting Vehicles,BMP-3,323,219,['destroyed'],https://i.postimg.cc/RZwDVB0S/1008-bmp3-destr-11-12-23.jpg,_e82b2917fcdbe7d7f385
