,owner,origen,weapon,platform,total,number,Status,url,primary_key,Date
101,RU,['the Soviet Union'],Tanks,T-64BV,76,14,['destroyed'],https://i.postimg.cc/pTfSkjxd/23.jpg,_b7084b4938a3b3ab7cdd,14/05/2022
117,RU,['the Soviet Union'],Tanks,T-64BV,76,30,['destroyed'],https://i.postimg.cc/rwVpBPxz/1002-t64bv-destr.jpg,_3bddd73cedbba0dd0434,02/10/2022
129,RU,['the Soviet Union'],Tanks,T-64BV,76,42,['destroyed'],https://twitter.com/UAWeapons/status/1658805354853957635,_b60a01e80d3342183f15,21/05/2023
150,RU,['the Soviet Union'],Tanks,T-64BV,76,1,['abandoned'],https://i.postimg.cc/2SxhnNXW/545.jpg,_493c3556fda2fe18a1a3,04/06/2022
151,RU,['the Soviet Union'],Tanks,T-64BV,76,2,['abandoned'],https://twitter.com/Osinttechnical/status/1543835821123534849,_46e6359f864da553e1d1,04/07/2022
152,RU,['the Soviet Union'],Tanks,T-64BV,76,3,"['damaged', 'abandoned']",https://i.postimg.cc/jSJ8dJ3K/1042-t72b-aband-11-10-23.jpg,_7c126d355ab2218fa39a,11/10/2023
153,RU,['the Soviet Union'],Tanks,T-64BV,76,4,"['damaged', 'abandoned']",https://i.postimg.cc/0NcRYBJS/1046-t64bv-dam-aband-18-10-23.jpg,_33eb0134e95349cf2551,21/10/2023
154,RU,['the Soviet Union'],Tanks,T-64BV,76,5,"['damaged', 'abandoned']",https://i.postimg.cc/Dyzd0W42/1016-64-BV-and-72-B-dam-aband-19-10-23.jpg,_c8a0820210c8fb8dce5e,05/11/2023
158,RU,['the Soviet Union'],Tanks,T-64BV,76,4,['captured'],https://i.postimg.cc/W4kWxSLT/7769.jpg,_6c4ccf494ea2afa3ba11,01/04/2022
159,RU,['the Soviet Union'],Tanks,T-64BV,76,5,['captured'],https://i.postimg.cc/v8J9YFfJ/1007.jpg,_9a39c610cda73ad75373,07/07/2022
247,RU,['the Soviet Union'],Tanks,T-72B,325,31,['destroyed'],https://i.postimg.cc/ZnVfz5bh/sx.jpg,_6c7df5fe39e19fdd9e58,01/04/2022
251,RU,['the Soviet Union'],Tanks,T-72B,325,35,['destroyed'],https://i.postimg.cc/d02MvR3G/1002.jpg,_8417846892829956b17f,16/07/2022
252,RU,['the Soviet Union'],Tanks,T-72B,325,36,['destroyed'],https://i.postimg.cc/TPD19KmC/41.png,_4f342259cc726e008cc5,05/04/2022
266,RU,['the Soviet Union'],Tanks,T-72B,325,50,['destroyed'],https://i.postimg.cc/wMNNW0t9/471.png,_3e4f4151fcd129e1e65b,13/04/2022
267,RU,['the Soviet Union'],Tanks,T-72B,325,51,['destroyed'],https://i.postimg.cc/wMNNW0t9/471.png,_f3732a2bfa7cb684c086,13/04/2022
303,RU,['the Soviet Union'],Tanks,T-72B,325,87,['destroyed'],https://i.postimg.cc/T3GDrcyZ/1004-t72b.jpg,_92ba49d0173dae30019d,06/08/2022
312,RU,['the Soviet Union'],Tanks,T-72B,325,96,['destroyed'],https://i.postimg.cc/gjvnW3xc/1006-t72b.jpg,_3526437fbebcb958d599,30/08/2022
386,RU,['the Soviet Union'],Tanks,T-72B,325,170,['destroyed'],https://i.postimg.cc/cCWRbCcR/1008-t72b-bmp1-destr-25-04-23.jpg,_25ee8b1ba1e29a073775,27/04/2023
397,RU,['the Soviet Union'],Tanks,T-72B,325,181,['destroyed'],https://i.postimg.cc/Bn8R6830/1003-t72b-destr-06-06-23.jpg,_2daf68fd42a57c2e9b17,08/06/2023
