,owner,origen,weapon,platform,total,number,Status,url,primary_key,Date
2215,RU,['Russia'],Tanks,Unknown tank,301,35,['destroyed'],https://i.postimg.cc/nc1rvgYx/1006-unkn-tank-destr.jpg,_ee4458cfc9df1949ad41,14/12/2022
2220,RU,['Russia'],Tanks,Unknown tank,301,40,['destroyed'],https://i.postimg.cc/Hkc4GppB/4436.png,_bdfe66fe59dc5c67f851,25/05/2022
2226,RU,['Russia'],Tanks,Unknown tank,301,46,['destroyed'],https://twitter.com/UAWeapons/status/1535549426261008385,_9b518480bcaffad24f86,12/06/2022
2228,RU,['Russia'],Tanks,Unknown tank,301,48,['destroyed'],https://twitter.com/UAWeapons/status/1537135796490231808,_61cd85c84bcadde15cfb,16/06/2022
2245,RU,['Russia'],Tanks,Unknown tank,301,65,['destroyed'],https://twitter.com/UAWeapons/status/1545728233173286913,_dda6e8b4ceebba24cd41,09/07/2022
2251,RU,['Russia'],Tanks,Unknown tank,301,71,['destroyed'],https://i.postimg.cc/D0jkH2ZD/1008.jpg,_d2f71364ea2bb9b8a40d,16/07/2022
2256,RU,['Russia'],Tanks,Unknown tank,301,76,['destroyed'],https://twitter.com/UAWeapons/status/1598000787971448832,_8029d6832cb2549b4db1,01/12/2022
2259,RU,['Russia'],Tanks,Unknown tank,301,79,['destroyed'],https://twitter.com/UAWeapons/status/1554872804365025282,_24bc3113a804dea36bfe,03/08/2022
2279,RU,['Russia'],Tanks,Unknown tank,301,99,['destroyed'],https://twitter.com/UAWeapons/status/1563175738022326272,_a91b789e1c17de6c9952,27/08/2022
2309,RU,['Russia'],Tanks,Unknown tank,301,129,['destroyed'],https://twitter.com/UAWeapons/status/1579913595298942976,_9dbfac1d716cf8db378e,11/10/2022
2339,RU,['Russia'],Tanks,Unknown tank,301,159,['destroyed'],https://i.postimg.cc/KzRTq89g/1015-unkn-tank-destr-31-01-23.png,_80530c23b3d717b01090,01/02/2023
2357,RU,['Russia'],Tanks,Unknown tank,301,177,['destroyed'],https://i.postimg.cc/CK0rX4VG/1004-unkn-tank-destr-15-03-23.jpg,_13028f6d1441f2e8670a,15/03/2023
2358,RU,['Russia'],Tanks,Unknown tank,301,178,['destroyed'],https://twitter.com/ServiceSsu/status/1637017523727003648,_6eef134822d6bca6fcc0,19/03/2023
2362,RU,['Russia'],Tanks,Unknown tank,301,182,['destroyed'],https://i.postimg.cc/J4Q4W1Bc/1042-unkn-tank-destr-16-03-23.jpg,_f3f69b334ac06bb89563,19/03/2023
2397,RU,['Russia'],Tanks,Unknown tank,301,217,['destroyed'],https://i.postimg.cc/Hn3cL4TR/1024-1x-destr-1x-dam-aband-unkn-tank-Remdiesel-Z-STS-Akhmat-destr-15-10-23.jpg,_b10db9064c4b5b4e1c59,17/10/2023
2418,RU,['Russia'],Tanks,Unknown tank,301,238,['destroyed'],https://i.postimg.cc/y65KptpX/1009-unkn-tank-destr-20-10-23.jpg,_833f96a928747d1c7ac7,21/10/2023
2419,RU,['Russia'],Tanks,Unknown tank,301,239,['destroyed'],https://i.postimg.cc/c1RSYb7Q/1005-16-10-23.jpg,_48265db451da0d98f1fe,17/10/2023
2420,RU,['Russia'],Tanks,Unknown tank,301,240,['destroyed'],https://i.postimg.cc/c1RSYb7Q/1005-16-10-23.jpg,_b585b5a07cb2b446c40f,17/10/2023
2421,RU,['Russia'],Tanks,Unknown tank,301,241,['destroyed'],https://i.postimg.cc/c1RSYb7Q/1005-16-10-23.jpg,_33aa877b2532dd38477f,17/10/2023
2422,RU,['Russia'],Tanks,Unknown tank,301,242,['destroyed'],https://i.postimg.cc/t4c6P5FH/1008-unkn-tank-destr-16-10-23.png,_51e9152d9f8ac56d9f6b,17/10/2023
2423,RU,['Russia'],Tanks,Unknown tank,301,243,['destroyed'],https://i.postimg.cc/qMzDqfHL/1034-1x-t72b3-1x-t80bv-2x-unkn-tank-destr-1x-t80bv-aband-31-10-23.jpg,_68c4e8f2af4200410dd7,02/11/2023
2424,RU,['Russia'],Tanks,Unknown tank,301,244,['destroyed'],https://i.postimg.cc/qMzDqfHL/1034-1x-t72b3-1x-t80bv-2x-unkn-tank-destr-1x-t80bv-aband-31-10-23.jpg,_855910742123e63bc483,02/11/2023
2425,RU,['Russia'],Tanks,Unknown tank,301,245,['destroyed'],https://i.postimg.cc/L4vGhBYH/1019-unkn-tank-destr-31-10-23.jpg,_0613538ffa73952aa4ca,02/11/2023
2426,RU,['Russia'],Tanks,Unknown tank,301,246,['destroyed'],https://i.postimg.cc/SRR2SMT3/1040-1x-unkn-tank-destr-2x-bmp1-dam-aband-04-11-23.jpg,_4a0373126fea3c7f5cb1,05/11/2023
2427,RU,['Russia'],Tanks,Unknown tank,301,247,['destroyed'],https://i.postimg.cc/Wp5gB2Wx/1033-unkn-tank-destr-19-10-23.jpg,_4e2dc4d250cd6a77b231,05/11/2023
2436,RU,['Russia'],Tanks,Unknown tank,301,9,['damaged'],https://twitter.com/UAWeapons/status/1593253796855001093,_c3f49d5df86e490d24d7,17/11/2022
2439,RU,['Russia'],Tanks,Unknown tank,301,12,['damaged'],https://i.postimg.cc/mkr5X8Cn/1022-unkn-tank-dam-16-01-23.jpg,_8687fcc435c2300755b5,19/01/2023
2451,RU,['Russia'],Tanks,Unknown tank,301,24,['damaged'],https://i.postimg.cc/6TJJTbQf/1015-unkn-tank-dam-07-07-23.jpg,_47862ee2a62f3a426f71,08/07/2023
2452,RU,['Russia'],Tanks,Unknown tank,301,25,['damaged'],https://i.postimg.cc/DZRMmPFy/1042-unkn-tank-dam-08-10-23.jpg,_084bdd940bed5b20f9ce,08/10/2023
2454,RU,['Russia'],Tanks,Unknown tank,301,2,"['damaged', 'abandoned']",https://i.postimg.cc/MKzpNpgY/1003.jpg,_a9d0ead1829c6afa6cdb,28/07/2022
2460,RU,['Russia'],Tanks,Unknown tank,301,8,"['damaged', 'abandoned']",https://i.postimg.cc/g0JBYvSX/443f.png,_792a1394fc8f5d75fb2c,03/04/2023
2468,RU,['Russia'],Tanks,Unknown tank,301,16,"['damaged', 'abandoned']",https://i.postimg.cc/Hn3cL4TR/1024-1x-destr-1x-dam-aband-unkn-tank-Remdiesel-Z-STS-Akhmat-destr-15-10-23.jpg,_fb9c008fea8c91b72af5,17/10/2023
2469,RU,['Russia'],Tanks,Unknown tank,301,17,['abandoned'],https://i.postimg.cc/xjz9fCS2/1039-unkn-tank-aband-23-10-23.jpg,_c3b38b401ff480d7e16b,24/10/2023
2470,RU,['Russia'],Tanks,Unknown tank,301,18,"['damaged', 'abandoned']",https://i.postimg.cc/nzpZYVhR/1004-unkn-tank-dam-aband-20-10-23.jpg,_91ad000d7993b30f709e,25/10/2023
2471,RU,['Russia'],Tanks,Unknown tank,301,19,"['damaged', 'abandoned']",https://i.postimg.cc/8C8TcmQV/1005-unkn-tank-and-btr82-aband-2x-unkn-afv-destr-20-10-23.jpg,_4e2a144a943731adcb76,25/10/2023
2472,RU,['Russia'],Tanks,Unknown tank,301,20,"['damaged', 'abandoned']",https://i.postimg.cc/DZPHr1xP/1017-unkn-tank-dam-aband-31-10-23.jpg,_3707955ddce7d854cf89,02/11/2023
2497,RU,['the Soviet Union'],Armoured Fighting Vehicles,BRM-1(K) reconnaissance vehicle,27,4,['captured'],https://twitter.com/UAWeapons/status/1569229438864195589,_7b60c5998c4a955c039a,12/09/2022
2502,RU,['the Soviet Union'],Armoured Fighting Vehicles,BRM-1(K) reconnaissance vehicle,27,9,['captured'],https://i.postimg.cc/SNkW4Ccj/1003-brm1k-capt-31-03-22.jpg,_1b7c29af46e75d53e9e1,15/01/2023
2519,RU,['the Soviet Union'],Armoured Fighting Vehicles,MT-LB,535,3,['destroyed'],https://twitter.com/UAWeapons/status/1498757622211784707,_6d41a30ba2d200425ddd,02/03/2022
2524,RU,['the Soviet Union'],Armoured Fighting Vehicles,MT-LB,535,8,['destroyed'],https://i.postimg.cc/y6m6zVCB/525.png,_2d55d30cd412128fd11e,09/03/2022
2525,RU,['the Soviet Union'],Armoured Fighting Vehicles,MT-LB,535,9,['destroyed'],https://i.postimg.cc/gJ24TR94/457.png,_8324eef0d2292d519b7c,14/03/2022
2571,RU,['the Soviet Union'],Armoured Fighting Vehicles,MT-LB,535,55,['destroyed'],https://i.postimg.cc/cHwQVqVN/e-Vsa-X8-T8-jpg-large.jpg,_68ce2dd724166c113e32,28/06/2022
2600,RU,['the Soviet Union'],Armoured Fighting Vehicles,MT-LB,535,85,['destroyed'],https://i.postimg.cc/q7yrqVbh/1001.jpg,_95db7be5bd20a1cf377c,16/07/2022
2764,RU,['the Soviet Union'],Armoured Fighting Vehicles,MT-LB,535,249,['destroyed'],https://i.postimg.cc/fyqyk31y/1302-mtlb-destr-12-09-22.jpg,_587e4f5ca42ea945ff15,10/06/2023
2839,RU,['the Soviet Union'],Armoured Fighting Vehicles,MT-LB,535,322,['destroyed'],https://i.postimg.cc/1XzLzfvF/1011-mtlb-destr-23-10-23.jpg,_8af5743b3ab1e7c5abf1,25/10/2023
2840,RU,['the Soviet Union'],Armoured Fighting Vehicles,MT-LB,535,323,['destroyed'],https://i.postimg.cc/769FDgnD/1012-mtlb-destr-23-10-23.jpg,_b4fdeeb40c4beea48443,25/10/2023
2851,RU,['the Soviet Union'],Armoured Fighting Vehicles,MT-LB,535,334,['destroyed'],https://i.postimg.cc/GhLsrD6w/1014-MT-LB-destr-31-10-23.jpg,_689e711480ca62140d9c,02/11/2023
2896,RU,['the Soviet Union'],Armoured Fighting Vehicles,MT-LB,535,29,['abandoned'],https://i.postimg.cc/SKWv4Wbb/1026-t72bobr22022-destr-t72b-brem1-mtlb-aband-31-10-23.jpg,_414d0e262d4dcf4b393d,02/11/2023
2899,RU,['the Soviet Union'],Armoured Fighting Vehicles,MT-LB,535,32,"['damaged', 'abandoned']",https://i.postimg.cc/k4cKX9n6/1032-t72bobr2022-and-3x-mtlb-dam-aband-05-11-23.jpg,_74f84ffb9e6b73af5292,05/11/2023
2900,RU,['the Soviet Union'],Armoured Fighting Vehicles,MT-LB,535,33,"['damaged', 'abandoned']",https://i.postimg.cc/k4cKX9n6/1032-t72bobr2022-and-3x-mtlb-dam-aband-05-11-23.jpg,_9a175557e86b6651f0b9,05/11/2023
2901,RU,['the Soviet Union'],Armoured Fighting Vehicles,MT-LB,535,34,"['damaged', 'abandoned']",https://i.postimg.cc/k4cKX9n6/1032-t72bobr2022-and-3x-mtlb-dam-aband-05-11-23.jpg,_38f1aba1a8e994e94f45,05/11/2023
3061,RU,['the Soviet Union'],Armoured Fighting Vehicles,MT-LBVM and MT-LBVMK,187,21,['destroyed'],https://i.postimg.cc/htHz1zp6/3f6.png,_a6dbf0dc6cbea74a4ec0,14/05/2022
3249,RU,['the Soviet Union'],Armoured Fighting Vehicles,MT-LB with ZU-23 AA gun,37,1,['abandoned'],https://i.postimg.cc/8kynTp9c/1030-unkn-t72-and-MT-LB-with-ZU-23-aband-31-10-23.jpg,_5c6e8dc8cad68aaec546,02/11/2023
3301,RU,['the Soviet Union'],Armoured Fighting Vehicles,Unknown BTR-D/BMD-2,11,9,['destroyed'],https://i.postimg.cc/7hTV65zt/1001-BMD-2-or-BTR-D-destr-10-05-23.jpg,_8d8bba7b90fedb3f1619,27/05/2023
3302,RU,['the Soviet Union'],Armoured Fighting Vehicles,Unknown BTR-D/BMD-2,11,10,['destroyed'],https://i.postimg.cc/DZ7pVVyR/1002-unkn-bmd-destr-24-07-23.jpg,_a7563e95ec7072641b48,24/07/2023
3303,RU,['the Soviet Union'],Armoured Fighting Vehicles,Unknown BTR-D/BMD-2,11,11,['destroyed'],https://i.postimg.cc/tJMBVYtH/1003-unkn-bmd-destr-24-07-23.jpg,_1f26973bdf5b0846cd4c,24/07/2023
3362,RU,['Russia'],Armoured Fighting Vehicles,Unknown AFV,208,57,['destroyed'],https://i.postimg.cc/5t4BrG8W/1004-unkn-afv-destr-19-06-23.jpg,_206a3b80330b41284810,21/06/2023
3403,RU,['Russia'],Armoured Fighting Vehicles,Unknown AFV,208,98,['destroyed'],https://twitter.com/UAWeapons/status/1536670455322525696,_403457524512313608a4,14/06/2022
3408,RU,['Russia'],Armoured Fighting Vehicles,Unknown AFV,208,103,['destroyed'],https://i.postimg.cc/VNyTMw9x/431.png,_4778bf175f52f911d480,28/06/2022
3411,RU,['Russia'],Armoured Fighting Vehicles,Unknown AFV,208,106,['destroyed'],https://twitter.com/UAWeapons/status/1545032059491688449,_f02ea9c7eac7fb7bd8c2,07/07/2022
3434,RU,['Russia'],Armoured Fighting Vehicles,Unknown AFV,208,129,['destroyed'],https://twitter.com/UAWeapons/status/1557115825303298049,_ddd9e741d0f07f397b48,10/08/2022
3438,RU,['Russia'],Armoured Fighting Vehicles,Unknown AFV,208,133,['destroyed'],https://i.postimg.cc/gkxRLbgp/1002.jpg,_000973d0cf357d72bf05,08/07/2022
3492,RU,['Russia'],Armoured Fighting Vehicles,Unknown AFV,208,186,['destroyed'],https://i.postimg.cc/65hfLF6x/254.png,_f69ddd8afe64c03f0227,05/09/2023
3493,RU,['Russia'],Armoured Fighting Vehicles,Unknown AFV,208,187,['destroyed'],https://i.postimg.cc/c1RSYb7Q/1005-16-10-23.jpg,_5e650c410d2dac309169,17/10/2023
3495,RU,['Russia'],Armoured Fighting Vehicles,Unknown AFV,208,189,['destroyed'],https://i.postimg.cc/8C3B4wGG/1007-16-10-23.jpg,_e80ee8912cb8f5f3f9d2,17/10/2023
3496,RU,['Russia'],Armoured Fighting Vehicles,Unknown AFV,208,190,['destroyed'],https://i.postimg.cc/cHdkRSB5/1003-unkn-afv-destr-16-10-23.png,_21beacd1baf615bb24ad,18/10/2023
3497,RU,['Russia'],Armoured Fighting Vehicles,Unknown AFV,208,191,['destroyed'],https://i.postimg.cc/8C8TcmQV/1005-unkn-tank-and-btr82-aband-2x-unkn-afv-destr-20-10-23.jpg,_228a722da32765e70ee5,25/10/2023
3498,RU,['Russia'],Armoured Fighting Vehicles,Unknown AFV,208,192,['destroyed'],https://i.postimg.cc/8C8TcmQV/1005-unkn-tank-and-btr82-aband-2x-unkn-afv-destr-20-10-23.jpg,_053ea567b23b630d9b6c,25/10/2023
3521,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-1(P),556,8,['destroyed'],https://i.postimg.cc/zGvL43bp/553.png,_30e79b93c4b903cbb30f,12/03/2022
3532,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-1(P),556,19,['destroyed'],https://i.postimg.cc/cC4qqnch/29.jpg,_d6f70a893bf71496be82,21/04/2022
3655,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-1(P),556,143,['destroyed'],https://i.postimg.cc/X7spbVS1/1005-1x-bmp1-destr-1x-bmp2-destr-25-01-23.jpg,_92449c4f548c49cca320,25/01/2023
3676,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-1(P),556,164,['destroyed'],https://i.postimg.cc/prqKJgnq/1039-bmp1-destr-20-02-23.jpg,_075b3994c0a5a3f23a98,20/02/2023
3683,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-1(P),556,171,['destroyed'],https://i.postimg.cc/fygLV2wj/1013-bmp1-destr-23-02-23.jpg,_be3ef13b8c1d2059452b,23/02/2023
3723,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-1(P),556,211,['destroyed'],https://i.postimg.cc/1tyjbLyk/329.png,_645714c1983c33442bfc,08/04/2023
3736,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-1(P),556,224,['destroyed'],https://i.postimg.cc/cCWRbCcR/1008-t72b-bmp1-destr-25-04-23.jpg,_41835cbae76543e70335,27/04/2023
3778,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-1(P),556,266,['destroyed'],https://i.postimg.cc/BnM0qg2R/1000-bmp1-dam-06-07-23.jpg,_06a6a7146aa128f85c12,08/07/2023
3799,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-1(P),556,287,['destroyed'],https://i.postimg.cc/T3KNnqyL/1046-bmp1-destr-28-04-23.jpg,_7afd63dc3fee1b100fef,19/07/2023
3800,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-1(P),556,288,['destroyed'],https://i.postimg.cc/bw4CgDb6/1047-bmp1-destr-28-04-23.jpg,_c302078b8c8a2a438def,19/07/2023
3816,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-1(P),556,304,['destroyed'],https://i.postimg.cc/rskGFK33/1003-bmp1-destr-25-07-23.jpg,_8f4676eb44f33da8b956,27/07/2023
3824,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-1(P),556,312,['destroyed'],https://i.postimg.cc/7LbYj3mh/1016-2x-t80bv-1x-destr-1x-aband-1x-bmp1-destr-14-08-23.jpg,_67a3c10a69c08f2766cc,14/08/2023
3886,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-1(P),556,374,['destroyed'],https://i.postimg.cc/8C3B4wGG/1007-16-10-23.jpg,_9020623c14ed1d47a845,17/10/2023
3895,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-1(P),556,383,['destroyed'],https://i.postimg.cc/BQyQd1gR/1001-bmp1-destr-24-10-23.jpg,_b0af53bcd7e0d675a5fd,25/10/2023
3933,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-1(P),556,2,"['damaged', 'abandoned']",https://i.postimg.cc/QMPbRrpP/8j.png,_24f2e6b41b4647db8270,13/05/2022
3940,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-1(P),556,9,['abandoned'],https://twitter.com/UAWeapons/status/1590375007930417152,_c4a0b455ff93b3fd8ccb,09/11/2022
3975,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-1(P),556,44,"['damaged', 'abandoned']",https://i.postimg.cc/SRR2SMT3/1040-1x-unkn-tank-destr-2x-bmp1-dam-aband-04-11-23.jpg,_2f79beccabd36bdcc0f9,05/11/2023
3976,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-1(P),556,45,"['damaged', 'abandoned']",https://i.postimg.cc/SRR2SMT3/1040-1x-unkn-tank-destr-2x-bmp1-dam-aband-04-11-23.jpg,_88692f6338cf2108a22a,05/11/2023
4007,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-1(P),556,31,['captured'],https://i.postimg.cc/kGp8z952/Screenshot-9133.png,_88b4a897640a7eae00d9,12/03/2022
4067,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-1(P),556,91,['captured'],https://i.postimg.cc/9FdNXqSm/1005-bmp1-capt.jpg,_e3cb0f3fca2aa250115f,27/12/2022
4133,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1044,29,['destroyed'],https://postlmg.cc/jny01hRh,_a7f768f1dcab88b7479f,12/03/2022
4137,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1044,33,['destroyed'],https://i.postimg.cc/ydz8Z3P1/3217.png,_abe23844a1d12e19e734,02/04/2023
4159,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1044,55,['destroyed'],https://i.postimg.cc/3J2MMTkK/m2.png,_78570b0dc272e6329304,25/03/2022
4163,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1044,59,['destroyed'],https://i.postimg.cc/PJG6KCz1/m6.png,_c009ca99c36a2f224bb2,25/03/2022
4260,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1044,156,['destroyed'],https://i.postimg.cc/wMMvydQ7/43f1.png,_2a5735605062fe13a2c9,06/05/2022
4290,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1044,186,['destroyed'],https://i.postimg.cc/kGXzqNJk/877.jpg,_fa69cfbf6e5e68c34d51,01/06/2022
4351,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1044,247,['destroyed'],https://i.postimg.cc/4NY2VM7X/1017-unkn-BMP.jpg,_41e78a4a2f82d31c57ca,27/07/2022
4361,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1044,257,['destroyed'],https://postimg.cc/wydhNQq8,_240104c80ab991865f7d,03/09/2022
4378,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1044,274,['destroyed'],https://postlmg.cc/G4pYTHHR,_5eca2810f2c499e12810,10/04/2023
4408,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1044,304,['destroyed'],https://i.postimg.cc/hPn9K6Xn/1020-1x-t72b-2x-bmp1-1x-bmp2-destr.jpg,_bbfa70e1d76514bd8101,07/10/2022
4418,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1044,314,['destroyed'],https://i.postimg.cc/xCPYQ1mM/1001-bmp2-destr.jpg,_9a2c83bdb78420ffcb93,12/10/2022
4503,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1044,399,['destroyed'],https://i.postimg.cc/yxm6p0t4/1006-bmp2-destr.jpg,_f247bf6aaa4523e2a4db,12/12/2022
4604,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1044,500,['destroyed'],https://twitter.com/UAWeapons/status/1638845891254558720,_74b85d58060469328288,25/03/2023
4686,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1044,582,['destroyed'],https://i.postimg.cc/1tPBwNfk/1027-bmp2-destr-22-06-23.jpg,_17ad0bda1f88c4742976,24/07/2023
4755,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1044,651,['destroyed'],https://i.postimg.cc/0QfgVqV7/1056-bmp2-destr-03-10-23.jpg,_2341a8dcdaa466aff1ef,04/10/2023
4756,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1044,652,['destroyed'],https://i.postimg.cc/tTVQCLz6/1066-BMP-2-K-destr-30-03-22.jpg,_79fd234a7069198b9ecd,05/10/2023
4762,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1044,658,['destroyed'],https://twitter.com/UAWeapons/status/1712552062364561824,_8da196224b41d9fb191b,14/10/2023
4763,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1044,659,['destroyed'],https://twitter.com/UAWeapons/status/1712552062364561824,_91a574e2241da86edb8e,14/10/2023
4764,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1044,660,['destroyed'],https://i.postimg.cc/DwcdZ1KV/1002-T-64-BV-AMN-590951-and-BMP2-destr-13-10-23.jpg,_a26bfdd97f8c3aa33eb7,14/10/2023
4765,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1044,661,['destroyed'],https://i.postimg.cc/TwyDr4pb/1013-bmp2-destr-13-10-23.jpg,_6bdb9c1b3abab363701b,14/10/2023
4773,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1044,669,['destroyed'],https://i.postimg.cc/B6hdPYVv/1044-bmp2-destr-18-10-23.jpg,_933123d89e7290593851,21/10/2023
4851,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1044,33,"['damaged', 'abandoned']",https://i.postimg.cc/NF4LLtyM/1004-2x-bmp2-dam-aband-1x-BTR82-A-destr-25-01-23.jpg,_c04e73d3f385141b09cd,25/01/2023
4852,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1044,34,"['damaged', 'abandoned']",https://i.postimg.cc/NF4LLtyM/1004-2x-bmp2-dam-aband-1x-BTR82-A-destr-25-01-23.jpg,_7c4f06049533fe3115a5,25/01/2023
4868,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1044,50,"['damaged', 'abandoned']",https://i.postimg.cc/wM3zbrF6/4430.png,_4f576adbfac0a279f285,07/04/2023
4879,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1044,61,"['damaged', 'abandoned']",https://i.postimg.cc/0NfNx9pj/2249.png,_966bad42d7fae2ff4209,20/09/2023
4881,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1044,63,['abandoned'],https://i.postimg.cc/k44Hjd9L/3g3.png,_93a4b64ca79cb96a49a2,20/09/2023
4882,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1044,64,"['damaged', 'abandoned']",https://i.postimg.cc/c1RSYb7Q/1005-16-10-23.jpg,_b4e83029af53ced90eb1,17/10/2023
4883,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1044,65,"['damaged', 'abandoned']",https://i.postimg.cc/FHtWY9Hy/1026-bmp2-dam-aband-24-10-23.jpg,_fda4f387c9fdd20db655,28/10/2023
4884,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1044,66,"['damaged', 'abandoned']",https://i.postimg.cc/fR4pJxQy/1006-bmp2-dam-aband-20-10-23.jpg,_51de20ea6c80aeedf9a6,02/11/2023
4953,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1044,65,['captured'],https://i.postimg.cc/tJ0ZVgRD/6662.jpg,_066e9cd6d35eea35f52e,09/03/2022
5135,RU,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),1044,247,['captured'],https://i.postimg.cc/hP7xJFTW/1017-BMP-2-capt-10-10-23.jpg,_8a50af57792de803dc3b,11/10/2023
5148,RU,['Russia'],Infantry Fighting Vehicles,BMP-2M Berezhok,28,13,['destroyed'],https://i.postimg.cc/kGR6cDMd/1002-bmp2-destr-19-03-23.jpg,_c71081b58fd903b627f7,19/03/2023
5151,RU,['Russia'],Infantry Fighting Vehicles,BMP-2M Berezhok,28,16,['destroyed'],https://i.postimg.cc/Y9NS7W04/1044-BMP-2-M-destr-07-10-23.jpg,_9c94ff16370c61cce4c8,08/10/2023
5152,RU,['Russia'],Infantry Fighting Vehicles,BMP-2M Berezhok,28,17,['destroyed'],https://i.postimg.cc/jSHF19mV/1011-bmp2m-destr-22-10-23.jpg,_34bd969af3855aa19a8a,24/10/2023
5153,RU,['Russia'],Infantry Fighting Vehicles,BMP-2M Berezhok,28,18,['destroyed'],https://i.postimg.cc/59DdmWt0/1039-BMP-2-M-destr-31-08-23.jpg,_f1bfac9040dc0a48b62f,28/10/2023
5192,RU,['the Soviet Union'],Infantry Fighting Vehicles,Unknown BMP-1/2,134,14,['destroyed'],https://i.postimg.cc/sfcTzjyx/g5.jpg,_b0a38c9b892d8f93e963,20/05/2022
5196,RU,['the Soviet Union'],Infantry Fighting Vehicles,Unknown BMP-1/2,134,18,['destroyed'],https://i.postimg.cc/y8NYpkhG/1000-unkn-bmp-destr-24-05-23.jpg,_5271eaf27c2ce37f63c3,25/05/2023
5204,RU,['the Soviet Union'],Infantry Fighting Vehicles,Unknown BMP-1/2,134,26,['destroyed'],https://twitter.com/UAWeapons/status/1531369866061664256,_a85df83756d1d2ff1bca,30/05/2022
5222,RU,['the Soviet Union'],Infantry Fighting Vehicles,Unknown BMP-1/2,134,44,['destroyed'],https://i.postimg.cc/zG8P77HB/4f5.png,_cf10cfa93694a84ede8b,28/06/2022
5295,RU,['the Soviet Union'],Infantry Fighting Vehicles,Unknown BMP-1/2,134,117,['destroyed'],https://i.postimg.cc/Y95VN0Y8/3288.png,_c66240173abdd79d0af7,04/09/2023
5298,RU,['the Soviet Union'],Infantry Fighting Vehicles,Unknown BMP-1/2,134,120,['destroyed'],https://postimg.cc/svJzLwv2,_73ae2b3fbeb8d4099707,05/09/2023
5299,RU,['the Soviet Union'],Infantry Fighting Vehicles,Unknown BMP-1/2,134,121,['destroyed'],https://i.postimg.cc/T3rkmZKZ/1032-unkn-bmp-destr-15-10-23.jpg,_4abee815a07121bc9509,28/10/2023
