,owner,origen,weapon,platform,total,number,Status,url,primary_key,Date
14536,UA,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),190,3,['damaged'],https://i.postimg.cc/FspCR7hB/1021-bmp2-dam-29-06-23.jpg,_c19c91502bcadeda3c12,03/07/2023
14537,UA,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),190,4,['damaged'],https://i.postimg.cc/5NzndC40/2007-BMP-2-dam-13-07-23.jpg,_12d7fdfdbd232a9841ef,21/07/2023
14538,UA,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),190,5,['damaged'],https://i.postimg.cc/HxjtZ9p5/2035-bmp2-dam-17-08-23.jpg,_76e7491248cd89426588,17/08/2023
14551,UA,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),190,13,['abandoned'],https://i.postimg.cc/QCvkqN0n/4313.png,_2b6094822fb8f8138cfd,28/09/2023
14552,UA,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),190,14,"['damaged', 'abandoned']",https://i.postimg.cc/jj25nTyn/321.png,_7a0f1a92a88cb1dc9c2e,28/09/2023
14553,UA,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),190,15,"['damaged', 'abandoned']",https://i.postimg.cc/rFYj2FsQ/2008-bmp2-dam-aband-26-09-23.jpg,_256807371f051eff09a9,04/10/2023
14580,UA,['the Soviet Union'],Infantry Fighting Vehicles,Unknown BMP-1/2,28,3,['destroyed'],https://i.postimg.cc/2SFhvb7B/2005-unkn-bmp.jpg,_f6f3374d0b07f2376fd6,30/08/2022
14604,UA,['the Soviet Union'],Infantry Fighting Vehicles,Unknown BMP-1/2,28,27,['destroyed'],https://i.postimg.cc/tCcVXVTc/431.png,_52fe093bc3abe4951677,20/09/2023
14756,UA,['Ukraine'],Infantry Fighting Vehicles,BTR-4,91,38,['destroyed'],https://i.postimg.cc/Y0qTyKX9/2002-btr4e-destr-02-01-23.jpg,_6c26e290cdb8acc747ca,03/01/2023
14792,UA,['Ukraine'],Infantry Fighting Vehicles,BTR-4,91,8,['captured'],https://i.postimg.cc/sx8Mcqch/47.png,_da6bd8d16929b86552fd,21/03/2022
14806,UA,['Ukraine'],Infantry Fighting Vehicles,BTR-4,91,22,['captured'],https://i.postimg.cc/GhL7wn9g/2305-btr4-capt-19-08-22.png,_abeb85e8ad405b8a32d7,10/06/2023
14809,UA,['Poland'],Infantry Fighting Vehicles,KTO Rosomak,5,1,['abandoned'],https://i.postimg.cc/h4Tn8QJg/5422.png,_2577649ef66174ed2f87,28/09/2023
15034,UA,['the Netherlands'],Armoured Personnel Carriers,YPR-765,55,22,['destroyed'],https://i.postimg.cc/6p6pt5rM/2030-YPR-765-destr-22-06-23.jpg,_7495a64460eda7d8bf57,27/06/2023
15047,UA,['the Netherlands'],Armoured Personnel Carriers,YPR-765,55,35,['destroyed'],https://i.postimg.cc/fTHtgp4T/2002-ypr765-destr-10-10-23.jpg,_5436742691649faf18a3,25/10/2023
15482,UA,['Ukraine'],Infantry Mobility Vehicles,Kozak-2,61,1,"['damaged', 'abandoned']",https://i.postimg.cc/vH1LW595/2003-kozak2-dam-aband-29-12-22.jpg,_eefd99f4b178b0f6c078,21/01/2023
15488,UA,['Ukraine'],Infantry Mobility Vehicles,Kozak-2,61,6,['captured'],https://i.postimg.cc/T2tH9nND/47.png,_72854557a8bc822c9135,13/04/2022
15501,UA,['Ukraine'],Infantry Mobility Vehicles,Kozak-2,61,19,['captured'],https://i.postimg.cc/xC6W8zKw/544.png,_0cd5c3db42a347cf82a8,16/04/2023
16605,UA,['the Soviet Union'],Aircraft,MiG-29 fighter aircraft,25,23,['destroyedontheground'],https://i.postimg.cc/52tyFBn7/2004-mig29-destr-30-09-23.jpg,_08c805c6973d679b257c,05/11/2023
16629,UA,['the Soviet Union'],Aircraft,Su-25 close air support aircraft,23,11,['destroyed'],https://i.postimg.cc/BZhbRRp1/7762.png,_8ab35de88db4a30fc487,09/09/2022
16630,UA,['the Soviet Union'],Aircraft,Su-25 close air support aircraft,23,12,['destroyed'],https://i.postimg.cc/2ym06SYn/229.png,_61582e8fc38364c0e4bb,01/10/2022
16631,UA,['the Soviet Union'],Aircraft,Su-25 close air support aircraft,23,13,['destroyed'],https://twitter.com/UAWeapons/status/1571914761344012288,_e6ca4065478ff523ae3e,19/09/2022
16632,UA,['the Soviet Union'],Aircraft,Su-25 close air support aircraft,23,14,['damagedbeyondeconomicalrepair'],https://twitter.com/UAWeapons/status/1506317219000721412,_d0ed2d114ce847804559,23/03/2022
16633,UA,['the Soviet Union'],Aircraft,Su-25 close air support aircraft,23,15,['destroyed'],https://i.postimg.cc/qBF97szr/62.png,_1f193d3498cf51b9467c,02/11/2022
16634,UA,['the Soviet Union'],Aircraft,Su-25 close air support aircraft,23,16,['destroyed'],https://i.postimg.cc/9F4PYCXX/2019-su25-destr-27-01-23.jpg,_20d2c73112104373612a,29/01/2023
16635,UA,['the Soviet Union'],Aircraft,Su-25 close air support aircraft,23,17,['destroyed'],https://twitter.com/UAWeapons/status/1711843075998269528,_bd7e9f7f56448f26d6e9,11/10/2023
16674,UA,['the Soviet Union'],Helicopters,Mi-8 transport helicopter,25,8,['destroyed'],https://i.postimg.cc/FsnJPVWy/2227.png,_dfa45a4da83a83226fd7,26/10/2022
16690,UA,['the Soviet Union'],Helicopters,Mi-8 transport helicopter,25,24,['destroyed'],https://i.postimg.cc/y8GgrPfR/3270.png,_d34cafdfdede92ada8de,26/09/2023
17009,UA,['Ukraine'],"Trucks, Vehicles, and Jeeps",KrAZ-6322 Raptor,9,1,['destroyed'],https://i.postimg.cc/kgJPxDg1/2022-06-25-UA-Kr-AZ-6322-destroyed.jpg,_0c0f468bce4bacfcc54d,04/12/2022
17010,UA,['Ukraine'],"Trucks, Vehicles, and Jeeps",KrAZ-6322 Raptor,9,2,['destroyed'],https://i.postimg.cc/fTjhtYDS/2022-07-09-UA-Kr-AZ-6322-destroyed.jpg,_9bdbe2163e77dae7108d,04/12/2022
17011,UA,['Ukraine'],"Trucks, Vehicles, and Jeeps",KrAZ-6322 Raptor,9,3,['destroyed'],https://i.postimg.cc/285nK3Pj/2000-Bogdan-63172-Kozak-destr.jpg,_00e6b8f6f2845b0b84a6,29/11/2022
17204,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",GAZ-66,109,24,['captured'],https://i.postimg.cc/R0vMzqRd/g544.png,_6312e67293afb88a4690,03/03/2022
17237,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",ZiL-131,150,12,['destroyed'],https://i.postimg.cc/W46c2YkQ/41.jpg,_a6edab6f15f10a904b1c,10/04/2022
17598,UA,['Ukraine'],"Trucks, Vehicles, and Jeeps",Unknown truck,71,1,['destroyed'],https://i.postimg.cc/zfsjQf9B/79.png,_8fc1a752b7961297cdd3,26/04/2022
17660,UA,['Ukraine'],"Trucks, Vehicles, and Jeeps",Unknown truck,71,63,['destroyed'],https://i.postimg.cc/d0jcH5hy/542.png,_e7cf2d32189d6326b770,05/09/2023
17716,RU,['Russia'],Tanks,T-72B3,354,220,['destroyed'],https://i.postimg.cc/C5vfhZRC/1033-t72b3-destr-08-11-23.jpg,_ef3193b38dd3fc360149,09/11/2023
17717,RU,['Russia'],Tanks,T-72B3,354,221,['destroyed'],https://i.postimg.cc/Y9BLC0GR/1007-t72b3-destr-T80b-dam-aband-02-11-23.jpg,_4ec7bc907712c1fb131f,11/02/2023
17725,RU,['Russia'],Tanks,Unknown T-72,148,109,['destroyed'],https://i.postimg.cc/QCgmSv5g/1016-64-BV-and-72-destr-19-10-23.jpg,_da9a6c5e4baea2ea071e,19/10/2023
17731,RU,['the Soviet Union'],Tanks,T-80BV,440,29,"['damaged', 'abandoned']",https://i.postimg.cc/9QsZwqJJ/1001-2x-t80bv-dam-aband-06-11-23.jpg,_bdb28e3889cafde47f88,09/11/2023
17732,RU,['the Soviet Union'],Tanks,T-80BV,440,40,"['damaged', 'abandoned']",https://i.postimg.cc/9QsZwqJJ/1001-2x-t80bv-dam-aband-06-11-23.jpg,_0862526f20dbebe2a8d5,09/11/2023
17741,RU,['Russia'],Tanks,Unknown tank,301,246,['destroyed'],https://i.postimg.cc/Wp5gB2Wx/1033-unkn-tank-destr-19-10-23.jpg,_ed6bc2fa5752a68c31ed,05/11/2023
17780,RU,['the Soviet Union'],Engineering Vehicles And Equipment ,BREM-1 armoured recovery vehicle,48,8,['abandoned'],https://i.postimg.cc/T2Vw72RT/1037-2x-dam-aband-bmp2-1x-brem-1-aband-08-11-23.jpg,_4276a2bdfc22e794e654,09/11/2023
17797,UA,['the Soviet Union'],Tanks,T-64BV,261,170,['destroyed'],https://i.postimg.cc/3w1WB5nd/2011-T-64-BV-destr-31-08-23.jpg,_f3240bb77fae503453f9,09/11/2023
17812,UA,['the Soviet Union'],Infantry Fighting Vehicles,BMP-2(K),190,139,['destroyed'],https://i.postimg.cc/W4DK5JC8/2000-bmp2-destr-24-09-23.jpg,_02fe38ee0d7689869243,10/11/2023
17819,UA,['Ukraine'],Infantry Fighting Vehicles,BTR-4,91,57,['destroyed'],https://i.postimg.cc/Lsj8sqqd/2010-BTR-4-E-destr-05-11-23.jpg,_6f5bd6cb706f83c9e660,09/11/2023
17838,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",GAZ-66,109,32,['captured'],https://i.postimg.cc/wBSHD9mX/2012-GAZ-66-capt-29-07-22.jpg,_dbd55120479d3dc05512,09/11/2023
