,owner,origen,weapon,platform,total,number,Status,url,total_real,primary_key
7329,RU,['Russia'],Command Posts And Communications Stations ,"9S932-2 intelligence, control and command vehicle (for Barnaul-T)",1,1,['captured'],https://i.postimg.cc/sgRgNPnP/1001-9-S932-2.jpg,1,_3248b413bf859a0857d7
9371,RU,['Russia'],Radars ,9S32M1 (forS-300V),1,1,['damaged'],https://twitter.com/UAWeapons/status/1691491187985723402,1,_ad6183cb1281eb9fde62
9372,RU,['Russia'],Radars ,9S19M2 (for S-300V),1,1,['damaged'],https://twitter.com/UAWeapons/status/1691491187985723402,1,_250bf6c331ce33da81fa
9374,RU,['Russia'],Radars ,92N6A (for S-400),1,1,['destroyed'],https://twitter.com/UAWeapons/status/1678509667603869697,1,_0fe73694906e829b895f
9392,RU,['Russia'],Radars ,1L259(for Zoopark-1 counter-battery radar complex),4,2,['damaged'],https://twitter.com/bayraktar_1love/status/1720367512884273594,4,_b71db2f56e61e51b8c7c
