,owner,origen,weapon,platform,total,number,Status,url,primary_key
9034,RU,['Russia'],Multiple Rocket Launchers ,122mm 2B26 Grad-K,4,1,['destroyed'],https://i.postimg.cc/fbsfnMYf/bb3.jpg,_3fab3d8026359f416709
9035,RU,['Russia'],Multiple Rocket Launchers ,122mm 2B26 Grad-K,4,2,['destroyed'],https://i.postimg.cc/QCX5wrz5/54.jpg,_fdc161658c51d1804343
9036,RU,['Russia'],Multiple Rocket Launchers ,122mm 2B26 Grad-K,4,3,['destroyed'],https://i.postimg.cc/brqkfSBj/4311.png,_6cb36891a770e6b9537d
9037,RU,['Russia'],Multiple Rocket Launchers ,122mm 2B26 Grad-K,4,4,['destroyed'],https://i.postimg.cc/QdD7jsxs/1013-Tornado-G-destr.jpg,_b6d5e48f99e0d4268926
9038,RU,['Russia'],Multiple Rocket Launchers ,122mm 2B26 Grad-K,4,5,['destroyed'],https://i.postimg.cc/7ZPjLvy9/1010-bm21-grad-destr.jpg,_461047b168d3ca623811
9039,RU,['Russia'],Multiple Rocket Launchers ,122mm 2B26 Grad-K,4,6,['destroyed'],https://twitter.com/UAWeapons/status/1656923803677499393,_fdb303bfc9413c25a229
9040,RU,['Russia'],Multiple Rocket Launchers ,122mm 2B26 Grad-K,4,7,['destroyed'],https://i.postimg.cc/vmkTRrDF/1004-Tornado-G-destr-xx-xx-22.jpg,_ed9e83bca3bc2316e554
9041,RU,['Russia'],Multiple Rocket Launchers ,122mm 2B26 Grad-K,4,8,['destroyed'],https://i.postimg.cc/WbvzRdtT/1031-tornado-g-destr-31-12-22.jpg,_e49c88cfaa555f4484fb
9042,RU,['Russia'],Multiple Rocket Launchers ,122mm 2B26 Grad-K,4,9,['destroyed'],https://i.postimg.cc/6QPdRDZh/3279.png,_508e50587b85193b9a40
9043,RU,['Russia'],Multiple Rocket Launchers ,122mm 2B26 Grad-K,4,1,['damaged'],https://i.postimg.cc/RCcF8nBy/1015-Tornado-G-dam-03-07-23.jpg,_eef582b246e6b9bcb270
9044,RU,['Russia'],Multiple Rocket Launchers ,122mm 2B26 Grad-K,4,2,['damaged'],https://i.postimg.cc/bN1xJrDj/1038-Tornado-G-dam-14-10-23.jpg,_c872e91d48a8782d9029
9045,RU,['Russia'],Multiple Rocket Launchers ,122mm 2B26 Grad-K,4,1,['captured'],https://i.postimg.cc/HxCqbSVV/38.png,_6e942de30a33566044cc
9046,RU,['Russia'],Multiple Rocket Launchers ,122mm 2B26 Grad-K,4,2,['captured'],https://i.postimg.cc/nhS7s5SG/76.jpg,_e593b57b8d09422b99bf
9047,RU,['Russia'],Multiple Rocket Launchers ,122mm 2B26 Grad-K,4,3,['captured'],https://i.postimg.cc/GpHTZxy2/1098-grad.png,_20e13f7a14ac87779882
9048,RU,['Russia'],Multiple Rocket Launchers ,122mm 2B26 Grad-K,4,4,['captured'],https://twitter.com/UAWeapons/status/1568899249688952833,_7e56107a93794b230550
9049,RU,['Russia'],Multiple Rocket Launchers ,122mm 2B26 Grad-K,4,5,['captured'],https://twitter.com/UAWeapons/status/1569347140035518466,_aff7312ec14070460adf
9050,RU,['Russia'],Multiple Rocket Launchers ,122mm 2B26 Grad-K,4,6,['captured'],https://i.postimg.cc/NfSf99dr/1012-Tornado-G-destr.jpg,_e2009d734ad02260df2d
9051,RU,['Russia'],Multiple Rocket Launchers ,122mm 2B26 Grad-K,4,7,"['damaged', 'captured']",https://i.postimg.cc/KvhG6nKh/1003-bm21-grad-dam-capt.jpg,_a645652205f901449965
9052,RU,['Russia'],Multiple Rocket Launchers ,122mm 2B26 Grad-K,4,8,"['damaged', 'captured']",https://i.postimg.cc/y85J3WwK/234.jpg,_7288ef07d9741378d1c1
9055,RU,['Russia'],Multiple Rocket Launchers ,MT-LB with 140mm Ogon-18 MRLS,2,1,['destroyed'],https://twitter.com/UAWeapons/status/1569229459240230914,_ff37ad395408a10adb0a
9056,RU,['Russia'],Multiple Rocket Launchers ,MT-LB with 140mm Ogon-18 MRLS,2,2,['destroyed'],https://twitter.com/UAWeapons/status/1667240959396945944,_950b7c5f52aae9c63a5f
9057,RU,['Russia'],Multiple Rocket Launchers ,MT-LB with 140mm Ogon-18 MRLS,2,3,['destroyed'],https://twitter.com/UAWeapons/status/1684474103544049666,_b465cfb507e33c3e35c1
9058,RU,['Russia'],Multiple Rocket Launchers ,MT-LB with 140mm Ogon-18 MRLS,2,4,['destroyed'],https://twitter.com/UAWeapons/status/1698077451736216005,_d1f66dc1d5fc64f88144
9059,RU,['Russia'],Multiple Rocket Launchers ,MT-LB with 140mm Ogon-18 MRLS,2,5,['destroyed'],https://twitter.com/UAWeapons/status/1710599465147445640,_9ae0ea62b41ea474b60f
9060,RU,['Russia'],Multiple Rocket Launchers ,MT-LB with 140mm Ogon-18 MRLS,2,6,['destroyed'],https://twitter.com/UAWeapons/status/1712833240283627642,_63af91e11c16c704e743
9061,RU,['Russia'],Multiple Rocket Launchers ,MT-LB with 140mm Ogon-18 MRLS,2,7,['destroyed'],https://i.postimg.cc/4xtWVf3M/1016-tos1-destr-20-10-23.jpg,_a3940d74132fdebcdf12
9062,RU,['Russia'],Multiple Rocket Launchers ,MT-LB with 140mm Ogon-18 MRLS,2,8,['destroyed'],https://twitter.com/bayraktar_1love/status/1719006047929544826,_a2ea8a7be0df55676fd8
9063,RU,['Russia'],Multiple Rocket Launchers ,MT-LB with 140mm Ogon-18 MRLS,2,1,['damaged'],https://twitter.com/UAWeapons/status/1633514509879975941,_9eb38e4b6ca362536cc0
9064,RU,['Russia'],Multiple Rocket Launchers ,MT-LB with 140mm Ogon-18 MRLS,2,2,"['damaged', 'captured']",https://i.postimg.cc/C5BcPB1R/54f.png,_aa4a3866ee94aca611a9
9065,RU,['Russia'],Multiple Rocket Launchers ,MT-LB with 140mm Ogon-18 MRLS,2,3,['captured'],https://i.postimg.cc/dtj7Fs6v/5g5.png,_301f3aac127045f00fa2
9141,RU,['Russia'],Multiple Rocket Launchers ,300mm BM-30 Smerch,2,1,['destroyed'],https://twitter.com/UAWeapons/status/1533131912423800832,_857bb3c5450da68b63c4
9142,RU,['Russia'],Multiple Rocket Launchers ,300mm BM-30 Smerch,2,2,['destroyed'],https://i.postimg.cc/XJWFmZM7/1036-unkn-MRLS.jpg,_995396251249665dda18
12651,RU,['Russia'],"Trucks, Vehicles, and Jeeps",LuAZ-969,3,2,['destroyed'],https://i.postimg.cc/MHfnmJF9/1000-1x-Ural-4320-1x-GAZ-Patriot-and-1x-UAZ-452.jpg,_0f84ecf1940df7442348
12652,RU,['Russia'],"Trucks, Vehicles, and Jeeps",LuAZ-969,3,3,['destroyed'],https://i.postimg.cc/HxBsvLXX/1006-2x-UAZ-Patriot-destr-30-07-22.jpg,_df21bfbca50c5b91425f
12653,RU,['Russia'],"Trucks, Vehicles, and Jeeps",LuAZ-969,3,4,['destroyed'],https://i.postimg.cc/HxBsvLXX/1006-2x-UAZ-Patriot-destr-30-07-22.jpg,_82945b8aff287e2f615b
12654,RU,['Russia'],"Trucks, Vehicles, and Jeeps",LuAZ-969,3,1,['damaged'],https://i.postimg.cc/CMbZpJKx/1022-UAZ-Patriot-jeep-dam-07-10-23.jpg,_3040b7b8c1358e069cf1
12655,RU,['Russia'],"Trucks, Vehicles, and Jeeps",LuAZ-969,3,1,['captured'],https://i.postimg.cc/HsjyTykV/2022-09-15-UAZ-Patriot.png,_fd2770d5a35c53510934
12656,RU,['Russia'],"Trucks, Vehicles, and Jeeps",UAZ-3151,1,23,['destroyed'],https://i.postimg.cc/zvxNWQTG/69.png,_cc1f9e6001b28d33b0af
12658,RU,['Russia'],"Trucks, Vehicles, and Jeeps",UAZ-31514,1,1,['destroyed'],https://i.postimg.cc/wMFWNrC6/4438.png,_4a0ddf11126009526d88
12659,RU,['Russia'],"Trucks, Vehicles, and Jeeps",UAZ-31514,1,2,['destroyed'],https://i.postimg.cc/X7pCx7g8/53.png,_0317f54630e2100c3e9c
12660,RU,['Russia'],"Trucks, Vehicles, and Jeeps",UAZ-31514,1,5,['destroyed'],https://i.postimg.cc/rwyLcFnj/33280.png,_55eea15bce8262720a76
12661,RU,['Russia'],"Trucks, Vehicles, and Jeeps",UAZ-31514,1,1,['captured'],https://i.postimg.cc/Hk70g9v5/f234.png,_241b39d7b75c8c972e92
12662,RU,['Russia'],"Trucks, Vehicles, and Jeeps",UAZ-31514,1,3,['destroyed'],https://i.postimg.cc/vBQ47tD2/UAZ-23632-148-64.jpg,_5cd9beebd8a89421cc5d
12663,RU,['Russia'],"Trucks, Vehicles, and Jeeps",UAZ-31514,1,4,['destroyed'],https://twitter.com/UAWeapons/status/1591808966002380800,_0b5375b6b753cf1368eb
12664,RU,['Russia'],"Trucks, Vehicles, and Jeeps",UAZ-31514,1,5,['destroyed'],https://i.postimg.cc/pr9SjJMB/1002-UAZ-23632-148-64-armed-pickup-truck-destr-30-03-22.jpg,_c22ba53834b6125adf83
12665,RU,['Russia'],"Trucks, Vehicles, and Jeeps",UAZ-31514,1,6,['destroyed'],https://i.postimg.cc/NLqZLt6B/1038-UAZ-23632-148-64-armed-pickup-truck-destr-01-03-22.jpg,_d9da431748c607e031bd
12666,RU,['Russia'],"Trucks, Vehicles, and Jeeps",UAZ-31514,1,7,['destroyed'],https://i.postimg.cc/ZYH2Jmbm/448.png,_3dd164aec6cf9bdee6e4
12667,RU,['Russia'],"Trucks, Vehicles, and Jeeps",UAZ-31514,1,8,['destroyed'],https://i.postimg.cc/X7pCx7g8/53.png,_db0f368c3162e22bc9cc
