owner;weapon;platform;;;;;;;;owner;;weapon;;platform;;Status
RU;Armoured Fighting Vehicles;Vityaz DT-30 articulated tracked carrier;;;;;;;;;;;;Vityaz DT-30 articulated tracked carrier;;
RU;Armoured Fighting Vehicles;GAZ-3344-20 'Aleut' articulated tracked carrier;;;;;;;;;;;;GAZ-3344-20 'Aleut' articulated tracked carrier;;
RU;Armoured Fighting Vehicles;2S1 with ZU-23 AA gun;;;;;;;;;;;;2S1 with ZU-23 AA gun;;
RU;Armoured Fighting Vehicles;Unknown BTR-D/BMD-2;;;;;;;;;;;;Unknown BTR-D/BMD-2;;
RU;Armoured Fighting Vehicles;BMM-80 ambulance;;;;;;;;;;;;BMM-80 ambulance;;
RU;Armoured Fighting Vehicles;Unknown AFV;;;;;;;;;;;;Unknown AFV;;
RU;Infantry Fighting Vehicles;BMP-1(P);;;;;;;;;;;;BMP-1(P);;
RU;Infantry Fighting Vehicles;BMP-1AM;;;;;;;;;;;;BMP-1AM;;
RU;Infantry Fighting Vehicles;BMP-2(K);;;;;;;;;;;;BMP-2(K);;
RU;Infantry Fighting Vehicles;BMP-2M Berezhok;;;;;;;;;;;;BMP-2M Berezhok;;
RU;Infantry Fighting Vehicles;BMP-2 675-sb3KDZ;;;;;;;;;;;;BMP-2 675-sb3KDZ;;
RU;Infantry Fighting Vehicles;Unknown BMP-1/2;;;;;;;;;;;;Unknown BMP-1/2;;
RU;Infantry Fighting Vehicles;BMP-3;;;;;;;;;;;;BMP-3;;
RU;Infantry Fighting Vehicles;BMP-3 688M sb. 3KDZ;;;;;;;;;;;;BMP-3 688M sb. 3KDZ;;
RU;Infantry Fighting Vehicles;MT-LBM 6MB;;;;;;;;;;;;MT-LBM 6MB;;
RU;Infantry Fighting Vehicles;BMD-2;;;;;;;;;;;;BMD-2;;
RU;Infantry Fighting Vehicles;BMD-4M;;;;;;;;;;;;BMD-4M;;
RU;Infantry Fighting Vehicles;BTR-82A(M);;;;;;;;;;;;BTR-82A(M);;
RU;Armoured Personnel Carriers;BTR-50;;;;;;;;;;;;BTR-50;;
RU;Armoured Personnel Carriers;BTR-60PB;;;;;;;;;;;;BTR-60PB;;
RU;Armoured Personnel Carriers;BTR-70;;;;;;;;;;;;BTR-70;;
RU;Armoured Personnel Carriers;BTR-70M;;;;;;;;;;;;BTR-70M;;
RU;Armoured Personnel Carriers;BTR-80;;;;;;;;;;;;BTR-80;;
RU;Armoured Personnel Carriers;Unknown BTR-80/BTR-82A;;;;;;;;;;;;Unknown BTR-80/BTR-82A;;
RU;Armoured Personnel Carriers;Remdiesel Z-STS Akhmat;;;;;;;;;;;;Remdiesel Z-STS Akhmat;;
RU;Armoured Personnel Carriers;Ural-VV;;;;;;;;;;;;Ural-VV;;
RU;Armoured Personnel Carriers;BTR-D;;;;;;;;;;;;BTR-D;;
RU;Armoured Personnel Carriers;BTR-MDM Rakushka;;;;;;;;;;;;BTR-MDM Rakushka;;
RU;Armoured Personnel Carriers;BMO-T;;;;;;;;;;;;BMO-T;;
RU;Mine-Resistant Ambush Protected ;KamAZ-63968 Typhoon;;;;;;;;;;;;KamAZ-63968 Typhoon;;
RU;Mine-Resistant Ambush Protected ;KamAZ-435029 Patrol-A;;;;;;;;;;;;KamAZ-435029 Patrol-A;;
RU;Mine-Resistant Ambush Protected ;K-53949 Typhoon-K;;;;;;;;;;;;K-53949 Typhoon-K;;
RU;Mine-Resistant Ambush Protected ;K-53949 Linza;;;;;;;;;;;;K-53949 Linza;;
RU;Infantry Mobility Vehicles;BPM-97 Vystrel;;;;;;;;;;;;BPM-97 Vystrel;;
