owner;weapon;platform;;;;;;;;owner;;weapon;;platform;;Status
RU;Multiple Rocket Launchers ;300mm BM-30 Smerch;;;;;;;;;;;;300mm BM-30 Smerch;;
RU;Multiple Rocket Launchers ;Unknown MRL;;;;;;;;;;;;Unknown MRL;;
RU;Anti-Aircraft Guns ;23mm ZU-23-2;;;;;;;;;;;;23mm ZU-23-2;;
RU;Anti-Aircraft Guns ;57mm AZP S-60;;;;;;;;;;;;57mm AZP S-60;;
RU;Self-Propelled Anti-Aircraft Guns ;BTR-ZD Skrezhet;;;;;;;;;;;;BTR-ZD Skrezhet;;
RU;Self-Propelled Anti-Aircraft Guns ;ZSU-23-4 Shilka;;;;;;;;;;;;ZSU-23-4 Shilka;;
RU;Self-Propelled Anti-Aircraft Guns ;2K22M1 Tunguska;;;;;;;;;;;;2K22M1 Tunguska;;
RU;Surface-To-Air Missile Systems ;9K33 Osa;;;;;;;;;;;;9K33 Osa;;
RU;Surface-To-Air Missile Systems ;9K35 Strela-10;;;;;;;;;;;;9K35 Strela-10;;
RU;Surface-To-Air Missile Systems ;9A310M1-2 TELAR;;;;;;;;;;;;9A310M1-2 TELAR;;
RU;Surface-To-Air Missile Systems ;9A39M1-2 TEL (for Buk-M1-2);;;;;;;;;;;;9A39M1-2 TEL (for Buk-M1-2);;
RU;Surface-To-Air Missile Systems ;9A317 TELAR;;;;;;;;;;;;9A317 TELAR;;
RU;Surface-To-Air Missile Systems ;9A316 TEL (for Buk-M2);;;;;;;;;;;;9A316 TEL (for Buk-M2);;
RU;Surface-To-Air Missile Systems ;Unknown Buk M1-2/M2/M3 TEL(AR);;;;;;;;;;;;Unknown Buk M1-2/M2/M3 TEL(AR);;
RU;Surface-To-Air Missile Systems ;9A317M TELAR (for Buk-M3);;;;;;;;;;;;9A317M TELAR (for Buk-M3);;
RU;Surface-To-Air Missile Systems ;9A330 TLAR (for 9K330 Tor);;;;;;;;;;;;9A330 TLAR (for 9K330 Tor);;
RU;Surface-To-Air Missile Systems ;9A331 TLAR (for 9K331 Tor-M1);;;;;;;;;;;;9A331 TLAR (for 9K331 Tor-M1);;
RU;Surface-To-Air Missile Systems ;9A331M TLAR (for 9K332 Tor-M2);;;;;;;;;;;;9A331M TLAR (for 9K332 Tor-M2);;
RU;Surface-To-Air Missile Systems ;9K331MDT TLAR Tor-M2DT;;;;;;;;;;;;9K331MDT TLAR Tor-M2DT;;
RU;Surface-To-Air Missile Systems ;Unknown Tor TLAR;;;;;;;;;;;;Unknown Tor TLAR;;
RU;Surface-To-Air Missile Systems ;Pantsir-S1;;;;;;;;;;;;Pantsir-S1;;
RU;Surface-To-Air Missile Systems ;5P85SD/SM (launcher for S-300 PMU(-1));;;;;;;;;;;;5P85SD/SM (launcher for S-300 PMU(-1));;
RU;Surface-To-Air Missile Systems ;9A83M2 TELAR (forS-300V4);;;;;;;;;;;;9A83M2 TELAR (forS-300V4);;
RU;Surface-To-Air Missile Systems ;9A84-2 TEL (forS-300V4);;;;;;;;;;;;9A84-2 TEL (forS-300V4);;
RU;Surface-To-Air Missile Systems ;5P85T2 (launcher for S-400);;;;;;;;;;;;5P85T2 (launcher for S-400);;
RU;Surface-To-Air Missile Systems ;5P85SM2-01 (launcher for S-400);;;;;;;;;;;;5P85SM2-01 (launcher for S-400);;
RU;Radars ;9S36 (for Buk-M2);;;;;;;;;;;;9S36 (for Buk-M2);;
RU;Radars ;9S18 Kupol (for Buk-M1-2/M2);;;;;;;;;;;;9S18 Kupol (for Buk-M1-2/M2);;
RU;Radars ;9S18M1(-2) (for Buk-M2);;;;;;;;;;;;9S18M1(-2) (for Buk-M2);;
RU;Radars ;9S18M1(-3) (for Buk-M3);;;;;;;;;;;;9S18M1(-3) (for Buk-M3);;
RU;Radars ;9S36M (for Buk-M3);;;;;;;;;;;;9S36M (for Buk-M3);;
RU;Radars ;9S32M1 (forS-300V);;;;;;;;;;;;9S32M1 (forS-300V);;
RU;Radars ;9S19M2 (for S-300V);;;;;;;;;;;;9S19M2 (for S-300V);;
RU;Radars ;"5N63S ""Flap Lid B"" engagement and tracking radar of the S-300";;;;;;;;;;;;"5N63S ""Flap Lid B"" engagement and tracking radar of the S-300";;
RU;Radars ;92N6A (for S-400);;;;;;;;;;;;92N6A (for S-400);;
RU;Radars ;PPRU-1(M) '9S80(-1)' 'Sborka' (for 9K35 Strela-10);;;;;;;;;;;;PPRU-1(M) '9S80(-1)' 'Sborka' (for 9K35 Strela-10);;
RU;Radars ;Repeynik portable counter-UAS radar;;;;;;;;;;;;Repeynik portable counter-UAS radar;;
RU;Radars ;Fara ground surveillance radar;;;;;;;;;;;;Fara ground surveillance radar;;
RU;Radars ;1L271 Aistyonok portable mortar locating reconnaissance radar;;;;;;;;;;;;1L271 Aistyonok portable mortar locating reconnaissance radar;;
RU;Radars ;Sobolyatnik 1L277 portable ground reconnaissance radar;;;;;;;;;;;;Sobolyatnik 1L277 portable ground reconnaissance radar;;
RU;Radars ;SNAR-10M1 battlefield surveillance radar;;;;;;;;;;;;SNAR-10M1 battlefield surveillance radar;;
RU;Radars ;1L219 (for Zoopark counter-battery radar complex);;;;;;;;;;;;1L219 (for Zoopark counter-battery radar complex);;
RU;Radars ;1L259(for Zoopark-1 counter-battery radar complex);;;;;;;;;;;;1L259(for Zoopark-1 counter-battery radar complex);;
RU;Radars ;1L261 (for 1L260 Zoopark-1M counter-battery radar complex);;;;;;;;;;;;1L261 (for 1L260 Zoopark-1M counter-battery radar complex);;
RU;Radars ;P-18T surveillance radar;;;;;;;;;;;;P-18T surveillance radar;;
RU;Radars ;P-18-2 2D VHF surveillance radar;;;;;;;;;;;;P-18-2 2D VHF surveillance radar;;
RU;Radars ;48Ya6-K1 Podlet-K1 low-altitude S-band surveillance radar;;;;;;;;;;;;48Ya6-K1 Podlet-K1 low-altitude S-band surveillance radar;;
RU;Radars ;1L119 Nebo-SVU VHF multi-functional radar;;;;;;;;;;;;1L119 Nebo-SVU VHF multi-functional radar;;
RU;Radars ;55Zh6U Nebo-U air surveillance radar;;;;;;;;;;;;55Zh6U Nebo-U air surveillance radar;;
RU;Radars ;1RL239 Ark-1(M) counter-battery radar;;;;;;;;;;;;1RL239 Ark-1(M) counter-battery radar;;
RU;Radars ;Predel coastal defence radar;;;;;;;;;;;;Predel coastal defence radar;;
RU;Radars ;Unknown radar;;;;;;;;;;;;Unknown radar;;
RU;Jammers And Deception Systems ;325BMV jamming station;;;;;;;;;;;;325BMV jamming station;;
RU;Jammers And Deception Systems ;R-330BMV and R-394BMV Borisoglebsk-2B;;;;;;;;;;;;R-330BMV and R-394BMV Borisoglebsk-2B;;
RU;Jammers And Deception Systems ;R-330ZH Zhitel;;;;;;;;;;;;R-330ZH Zhitel;;
RU;Jammers And Deception Systems ;R-330M1P Diabazol;;;;;;;;;;;;R-330M1P Diabazol;;
RU;Jammers And Deception Systems ;R-934UM;;;;;;;;;;;;R-934UM;;
RU;Jammers And Deception Systems ;R-934B 'Sinitsa' automated jamming station;;;;;;;;;;;;R-934B 'Sinitsa' automated jamming station;;
RU;Jammers And Deception Systems ;1L262E Rtut-BM;;;;;;;;;;;;1L262E Rtut-BM;;
RU;Jammers And Deception Systems ;Torn(-MDM);;;;;;;;;;;;Torn(-MDM);;
RU;Jammers And Deception Systems ;Silok-01 counter-UAV system;;;;;;;;;;;;Silok-01 counter-UAV system;;
RU;Jammers And Deception Systems ;Strizh-3 counter-UAV system;;;;;;;;;;;;Strizh-3 counter-UAV system;;
RU;Jammers And Deception Systems ;1RL257 Krasukha-4 (command post);;;;;;;;;;;;1RL257 Krasukha-4 (command post);;
RU;Jammers And Deception Systems ;Leer-2 electronic warfare system;;;;;;;;;;;;Leer-2 electronic warfare system;;
RU;Jammers And Deception Systems ;Leer-3 electronic warfare system;;;;;;;;;;;;Leer-3 electronic warfare system;;
RU;Jammers And Deception Systems ;RLK-MC-A (ROSC-1) counter-UAV system;;;;;;;;;;;;RLK-MC-A (ROSC-1) counter-UAV system;;
RU;Jammers And Deception Systems ;RB-636AM2 Svet-KU EW system;;;;;;;;;;;;RB-636AM2 Svet-KU EW system;;
RU;Jammers And Deception Systems ;Palantin EW system;;;;;;;;;;;;Palantin EW system;;
RU;Jammers And Deception Systems ;RP-377LA Lorandit;;;;;;;;;;;;RP-377LA Lorandit;;
RU;Jammers And Deception Systems ;Unknown EW system;;;;;;;;;;;;Unknown EW system;;
RU;Aircraft;MiG-31BM fighter aircraft;;;;;;;;;;;;MiG-31BM fighter aircraft;;
RU;Aircraft;Su-30SM multirole aircraft;;;;;;;;;;;;Su-30SM multirole aircraft;;
RU;Aircraft;Su-35S multirole aircraft;;;;;;;;;;;;Su-35S multirole aircraft;;
RU;Aircraft;Su-25 close air support aircraft;;;;;;;;;;;;Su-25 close air support aircraft;;
RU;Aircraft;Su-24M strike aircraft;;;;;;;;;;;;Su-24M strike aircraft;;
RU;Aircraft;Su-24MR tactical reconnaissance aircraft;;;;;;;;;;;;Su-24MR tactical reconnaissance aircraft;;
RU;Aircraft;Su-24M/MR strike/tactical reconnaissance aircraft;;;;;;;;;;;;Su-24M/MR strike/tactical reconnaissance aircraft;;
RU;Aircraft;Su-34 strike aircraft;;;;;;;;;;;;Su-34 strike aircraft;;
RU;Aircraft;Su-34M strike aircraft;;;;;;;;;;;;Su-34M strike aircraft;;
RU;Aircraft;Unknown fighter jet;;;;;;;;;;;;Unknown fighter jet;;
RU;Aircraft;Tu-22M3 strategic bomber;;;;;;;;;;;;Tu-22M3 strategic bomber;;
RU;Aircraft;Tu-95MS strategic bomber;;;;;;;;;;;;Tu-95MS strategic bomber;;
RU;Aircraft;Il-22 airborne command post;;;;;;;;;;;;Il-22 airborne command post;;
RU;Aircraft;An-26 transport aircraft;;;;;;;;;;;;An-26 transport aircraft;;
RU;Aircraft;Il-76 transport aircraft;;;;;;;;;;;;Il-76 transport aircraft;;
RU;Helicopters;Mi-8 transport helicopter;;;;;;;;;;;;Mi-8 transport helicopter;;
RU;Helicopters;Mi-8MTPR-1 electronic warfare helicopter;;;;;;;;;;;;Mi-8MTPR-1 electronic warfare helicopter;;
RU;Helicopters;Mi-24P attack helicopter;;;;;;;;;;;;Mi-24P attack helicopter;;
RU;Helicopters;Mi-24V/P/35M attack helicopter;;;;;;;;;;;;Mi-24V/P/35M attack helicopter;;
RU;Helicopters;Mi-35M attack helicopter;;;;;;;;;;;;Mi-35M attack helicopter;;
RU;Helicopters;Mi-28 attack helicopter;;;;;;;;;;;;Mi-28 attack helicopter;;
RU;Helicopters;Ka-52 Alligator attack helicopter;;;;;;;;;;;;Ka-52 Alligator attack helicopter;;
RU;Helicopters;Unknown helicopter;;;;;;;;;;;;Unknown helicopter;;
RU;Unmanned Combat Aerial Vehicles;Orion;;;;;;;;;;;;Orion;;
RU;Unmanned Combat Aerial Vehicles;Korsar;;;;;;;;;;;;Korsar;;
RU;Unmanned Combat Aerial Vehicles;Forpost-RU;;;;;;;;;;;;Forpost-RU;;
RU;Unmanned Combat Aerial Vehicles;Mohajer-6;;;;;;;;;;;;Mohajer-6;;
RU;Unmanned Combat Aerial Vehicles;Orlan-10 UCAV;;;;;;;;;;;;Orlan-10 UCAV;;
RU;Unmanned Combat Aerial Vehicles;Eleron T-16;;;;;;;;;;;;Eleron T-16;;
RU;Reconnaissance Unmanned Aerial Vehicles;Forpost;;;;;;;;;;;;Forpost;;
RU;Reconnaissance Unmanned Aerial Vehicles;Orlan-10;;;;;;;;;;;;Orlan-10;;
RU;Reconnaissance Unmanned Aerial Vehicles;Orlan-10 jamming UAV;;;;;;;;;;;;Orlan-10 jamming UAV;;
RU;Reconnaissance Unmanned Aerial Vehicles;'Orlan-20' ''Kartograf'';;;;;;;;;;;;'Orlan-20' ''Kartograf'';;
RU;Reconnaissance Unmanned Aerial Vehicles;Orlan-30;;;;;;;;;;;;Orlan-30;;
RU;Reconnaissance Unmanned Aerial Vehicles;Granat-3;;;;;;;;;;;;Granat-3;;
RU;Reconnaissance Unmanned Aerial Vehicles;Granat-4;;;;;;;;;;;;Granat-4;;
RU;Reconnaissance Unmanned Aerial Vehicles;Eleron-3;;;;;;;;;;;;Eleron-3;;
RU;Reconnaissance Unmanned Aerial Vehicles;Eleron-3SV;;;;;;;;;;;;Eleron-3SV;;
RU;Reconnaissance Unmanned Aerial Vehicles;Eleron-10;;;;;;;;;;;;Eleron-10;;
RU;Reconnaissance Unmanned Aerial Vehicles;Eleron T28ME;;;;;;;;;;;;Eleron T28ME;;
RU;Reconnaissance Unmanned Aerial Vehicles;Takhion;;;;;;;;;;;;Takhion;;
RU;Reconnaissance Unmanned Aerial Vehicles;ZALA 421-16E;;;;;;;;;;;;ZALA 421-16E;;
RU;Reconnaissance Unmanned Aerial Vehicles;ZALA 421-16EM;;;;;;;;;;;;ZALA 421-16EM;;
RU;Reconnaissance Unmanned Aerial Vehicles;Merlin-VR;;;;;;;;;;;;Merlin-VR;;
RU;Reconnaissance Unmanned Aerial Vehicles;Lastochka-M;;;;;;;;;;;;Lastochka-M;;
RU;Reconnaissance Unmanned Aerial Vehicles;Supercam S150;;;;;;;;;;;;Supercam S150;;
RU;Reconnaissance Unmanned Aerial Vehicles;Supercam S350;;;;;;;;;;;;Supercam S350;;
RU;Reconnaissance Unmanned Aerial Vehicles;Grifon-12;;;;;;;;;;;;Grifon-12;;
RU;Naval Shipsand Submarines ;Project 1164 Slava-class guided missile cruiser;;;;;;;;;;;;Project 1164 Slava-class guided missile cruiser;;
RU;Naval Shipsand Submarines ;Project 636.3 Improved Kilo-class submarine;;;;;;;;;;;;Project 636.3 Improved Kilo-class submarine;;
RU;Naval Shipsand Submarines ;Project 03160 Raptor-class patrol boat;;;;;;;;;;;;Project 03160 Raptor-class patrol boat;;
RU;Naval Shipsand Submarines ;Project 02510 BK-16E high-speed assault boat;;;;;;;;;;;;Project 02510 BK-16E high-speed assault boat;;
RU;Naval Shipsand Submarines ;Project 640 small patrol boat;;;;;;;;;;;;Project 640 small patrol boat;;
RU;Naval Shipsand Submarines ;Project 1171 Tapir-class landing ship;;;;;;;;;;;;Project 1171 Tapir-class landing ship;;
RU;Naval Shipsand Submarines ;Project 775 Ropucha-class landing ship;;;;;;;;;;;;Project 775 Ropucha-class landing ship;;
RU;Naval Shipsand Submarines ;Project 11770 Serna-class landing craft;;;;;;;;;;;;Project 11770 Serna-class landing craft;;
RU;Naval Shipsand Submarines ;Project 22870 rescue tug;;;;;;;;;;;;Project 22870 rescue tug;;
RU;Naval Shipsand Submarines ;Project 266M Natya-class minesweeper;;;;;;;;;;;;Project 266M Natya-class minesweeper;;
RU;Trucks, Vehicles, and Jeeps;GAZ-51;;;;;;;;;;;;GAZ-51;;
RU;Trucks, Vehicles, and Jeeps;GAZ-66;;;;;;;;;;;;GAZ-66;;
RU;Trucks, Vehicles, and Jeeps;KrAZ-255B;;;;;;;;;;;;KrAZ-255B;;
RU;Trucks, Vehicles, and Jeeps;KrAZ-255B tanker;;;;;;;;;;;;KrAZ-255B tanker;;
RU;Trucks, Vehicles, and Jeeps;KrAZ-260 tanker;;;;;;;;;;;;KrAZ-260 tanker;;
RU;Trucks, Vehicles, and Jeeps;ZiL-131;;;;;;;;;;;;ZiL-131;;
RU;Trucks, Vehicles, and Jeeps;ZiL-131 tanker;;;;;;;;;;;;ZiL-131 tanker;;
RU;Trucks, Vehicles, and Jeeps;2F77M transloading vehicle for 2K22M Tunguska-M;;;;;;;;;;;;2F77M transloading vehicle for 2K22M Tunguska-M;;
RU;Trucks, Vehicles, and Jeeps;9T217 transloader (for 9K33 Osa);;;;;;;;;;;;9T217 transloader (for 9K33 Osa);;
RU;Trucks, Vehicles, and Jeeps;9T244 transloader (for 9A330/1 Tor);;;;;;;;;;;;9T244 transloader (for 9A330/1 Tor);;
RU;Trucks, Vehicles, and Jeeps;Truck-based support equipment (for S-400);;;;;;;;;;;;Truck-based support equipment (for S-400);;
RU;Trucks, Vehicles, and Jeeps;GAZ-3308;;;;;;;;;;;;GAZ-3308;;
RU;Trucks, Vehicles, and Jeeps;GAZ Sobol;;;;;;;;;;;;GAZ Sobol;;
RU;Trucks, Vehicles, and Jeeps;Ural-375D;;;;;;;;;;;;Ural-375D;;
RU;Trucks, Vehicles, and Jeeps;Ural-375D tanker;;;;;;;;;;;;Ural-375D tanker;;
RU;Trucks, Vehicles, and Jeeps;Ural-4320;;;;;;;;;;;;Ural-4320;;
RU;Trucks, Vehicles, and Jeeps;Ural-4320 tanker;;;;;;;;;;;;Ural-4320 tanker;;
RU;Trucks, Vehicles, and Jeeps;Ural Avtozaks;;;;;;;;;;;;Ural Avtozaks;;
RU;Trucks, Vehicles, and Jeeps;Ural-43206;;;;;;;;;;;;Ural-43206;;
RU;Trucks, Vehicles, and Jeeps;Ural Federal;;;;;;;;;;;;Ural Federal;;
RU;Trucks, Vehicles, and Jeeps;Ural-5323;;;;;;;;;;;;Ural-5323;;
RU;Trucks, Vehicles, and Jeeps;Ural-63704-0010 Tornado-U;;;;;;;;;;;;Ural-63704-0010 Tornado-U;;
RU;Trucks, Vehicles, and Jeeps;Ural-542301 tank transporter;;;;;;;;;;;;Ural-542301 tank transporter;;
RU;Trucks, Vehicles, and Jeeps;Ural-63501-AT;;;;;;;;;;;;Ural-63501-AT;;
RU;Trucks, Vehicles, and Jeeps;MAZ TZ-500 tanker;;;;;;;;;;;;MAZ TZ-500 tanker;;
RU;Trucks, Vehicles, and Jeeps;MAZ 531605 tanker;;;;;;;;;;;;MAZ 531605 tanker;;
RU;Trucks, Vehicles, and Jeeps;KamAZ 4x4;;;;;;;;;;;;KamAZ 4x4;;
RU;Trucks, Vehicles, and Jeeps;KamAZ 6x4;;;;;;;;;;;;KamAZ 6x4;;
RU;Trucks, Vehicles, and Jeeps;KamAZ 6x6;;;;;;;;;;;;KamAZ 6x6;;
RU;Trucks, Vehicles, and Jeeps;KamAZ 6x6 tanker;;;;;;;;;;;;KamAZ 6x6 tanker;;
RU;Trucks, Vehicles, and Jeeps;KamAZ 8x8;;;;;;;;;;;;KamAZ 8x8;;
RU;Trucks, Vehicles, and Jeeps;KamAZ 8x8 tanker;;;;;;;;;;;;KamAZ 8x8 tanker;;
RU;Trucks, Vehicles, and Jeeps;KamAZ Avtozaks;;;;;;;;;;;;KamAZ Avtozaks;;
RU;Trucks, Vehicles, and Jeeps;KamAZ-5350 with armoured cabin;;;;;;;;;;;;KamAZ-5350 with armoured cabin;;
RU;Trucks, Vehicles, and Jeeps;KamAZ with MM-501 armoured cabin;;;;;;;;;;;;KamAZ with MM-501 armoured cabin;;
RU;Trucks, Vehicles, and Jeeps;KamAZ-6350 8x8 artillery tractor;;;;;;;;;;;;KamAZ-6350 8x8 artillery tractor;;
RU;Trucks, Vehicles, and Jeeps;KamAZ tank low-loader;;;;;;;;;;;;KamAZ tank low-loader;;
RU;Trucks, Vehicles, and Jeeps;KamAZ 'Gorets' 3958;;;;;;;;;;;;KamAZ 'Gorets' 3958;;
RU;Trucks, Vehicles, and Jeeps;UAZ-469 jeep;;;;;;;;;;;;UAZ-469 jeep;;
RU;Trucks, Vehicles, and Jeeps;UAZ-452 van;;;;;;;;;;;;UAZ-452 van;;
RU;Trucks, Vehicles, and Jeeps;UAZ-3303;;;;;;;;;;;;UAZ-3303;;
RU;Trucks, Vehicles, and Jeeps;LuAZ-969;;;;;;;;;;;;LuAZ-969;;
RU;Trucks, Vehicles, and Jeeps;UAZ Patriot jeep;;;;;;;;;;;;UAZ Patriot jeep;;
RU;Trucks, Vehicles, and Jeeps;UAZ-3151;;;;;;;;;;;;UAZ-3151;;
RU;Trucks, Vehicles, and Jeeps;UAZ-31514;;;;;;;;;;;;UAZ-31514;;
RU;Trucks, Vehicles, and Jeeps;UAZ-23631 pickup truck;;;;;;;;;;;;UAZ-23631 pickup truck;;
RU;Trucks, Vehicles, and Jeeps;UAZ-23632-148-64 armed pickup truck;;;;;;;;;;;;UAZ-23632-148-64 armed pickup truck;;
RU;Trucks, Vehicles, and Jeeps;UAZ-394511 'Esaul';;;;;;;;;;;;UAZ-394511 'Esaul';;
RU;Trucks, Vehicles, and Jeeps;UAZ-515195 'Esaul';;;;;;;;;;;;UAZ-515195 'Esaul';;
RU;Trucks, Vehicles, and Jeeps;UAZ-39094;;;;;;;;;;;;UAZ-39094;;
RU;Trucks, Vehicles, and Jeeps;Unknown fuel tanker;;;;;;;;;;;;Unknown fuel tanker;;
RU;Trucks, Vehicles, and Jeeps;(Unknown) truck;;;;;;;;;;;;(Unknown) truck;;
RU;Trucks, Vehicles, and Jeeps;(Unknown) vehicle;;;;;;;;;;;;(Unknown) vehicle;;
UA;Tanks;M-55S;;;;;;;;;;;;M-55S;;
UA;Tanks;T-64A;;;;;;;;;;;;T-64B;;
UA;Tanks;T-64B;;;;;;;;;;;;T-64BV Zr. 2017;;
UA;Tanks;T-64BV;;;;;;;;;;;;T-64B1M;;
UA;Tanks;T-64BV Zr. 2017;;;;;;;;;;;;T-64BM 'Bulat';;
UA;Tanks;T-64B1M;;;;;;;;;;;;T-64BM2 'Bulat';;
UA;Tanks;T-64BM 'Bulat';;;;;;;;;;;;Unknown T-64;;
UA;Tanks;T-64BM2 'Bulat';;;;;;;;;;;;T-72M/M1(R);;
UA;Tanks;Unknown T-64;;;;;;;;;;;;T-72EA;;
UA;Tanks;T-72 'Ural';;;;;;;;;;;;T-72AMT;;
UA;Tanks;T-72M/M1(R);;;;;;;;;;;;T-72AMT Zr.2022;;
UA;Tanks;T-72EA;;;;;;;;;;;;PT-91 Twardy;;
UA;Tanks;T-72AV;;;;;;;;;;;;Leopard 2A4;;
UA;Tanks;T-72B;;;;;;;;;;;;Leopard 2A6;;
UA;Tanks;T-72AMT;;;;;;;;;;;;Stridsvagn 122;;
UA;Tanks;T-72AMT Zr.2022;;;;;;;;;;;;Challenger 2;;
UA;Tanks;PT-91 Twardy;;;;;;;;;;;;AMX-10 RC(R);;
UA;Tanks;Unknown T-72;;;;;;;;;;;;BRDM-2L1;;
UA;Tanks;T-80BV;;;;;;;;;;;;Vepr;;
UA;Tanks;Leopard 2A4;;;;;;;;;;;;MT-LB with BPU-1 turret;;
UA;Tanks;Leopard 2A6;;;;;;;;;;;;MT-LB with 85mm D-44 gun;;
UA;Tanks;Stridsvagn 122;;;;;;;;;;;;BTS-4 ARV with ZU-23 AA gun;;
UA;Tanks;Challenger 2;;;;;;;;;;;;MT-LB-S Ambulance;;
UA;Tanks;Unknown tank;;;;;;;;;;;;BMM-70 Ambulance;;
UA;Armoured Fighting Vehicles;AMX-10 RC(R);;;;;;;;;;;;BMM-4C Ambulance;;
UA;Armoured Fighting Vehicles;BRM-1(K) reconnaissance vehicle;;;;;;;;;;;;BMP-1TS;;
UA;Armoured Fighting Vehicles;BRDM-2;;;;;;;;;;;;BMP-1U Shkval;;
UA;Armoured Fighting Vehicles;BRDM-2L1;;;;;;;;;;;;BWP-1;;
UA;Armoured Fighting Vehicles;BRDM-2RKhb chemical reconnaissance vehicle;;;;;;;;;;;;Pbv 501A;;
UA;Armoured Fighting Vehicles;Vepr;;;;;;;;;;;;BVP M-80A;;
UA;Armoured Fighting Vehicles;MT-LB;;;;;;;;;;;;PRP-3 with a BMD-2 turret;;
UA;Armoured Fighting Vehicles;MT-LB with ZU-23 AA gun;;;;;;;;;;;;PRP-3 with a BMP-1 turret;;
UA;Armoured Fighting Vehicles;MT-LB with BPU-1 turret;;;;;;;;;;;;M2A2 Bradley ODS-SA;;
UA;Armoured Fighting Vehicles;MT-LB with 85mm D-44 gun;;;;;;;;;;;;CV9040C;;
UA;Armoured Fighting Vehicles;BTS-4 ARV with ZU-23 AA gun;;;;;;;;;;;;Marder 1A3;;
UA;Armoured Fighting Vehicles;MT-LBu;;;;;;;;;;;;BTR-3;;
UA;Armoured Fighting Vehicles;MT-LB-S Ambulance;;;;;;;;;;;;BTR-4;;
UA;Armoured Fighting Vehicles;BMM-70 Ambulance;;;;;;;;;;;;KTO Rosomak;;
UA;Armoured Fighting Vehicles;BMM-4C Ambulance;;;;;;;;;;;;BTR-7;;
UA;Armoured Fighting Vehicles;Unknown AFV;;;;;;;;;;;;BTR-80M;;
UA;Infantry Fighting Vehicles;BMP-1(P);;;;;;;;;;;;GT-MU AFV converted to APC;;
UA;Infantry Fighting Vehicles;BMP-1TS;;;;;;;;;;;;Unknown BTR;;
UA;Infantry Fighting Vehicles;BMP-1U Shkval;;;;;;;;;;;;YPR-765;;
UA;Infantry Fighting Vehicles;BWP-1;;;;;;;;;;;;M113;;
UA;Infantry Fighting Vehicles;Pbv 501A;;;;;;;;;;;;M113AS4;;
UA;Infantry Fighting Vehicles;BVP M-80A;;;;;;;;;;;;M113G3DK/G4DK;;
UA;Infantry Fighting Vehicles;BMP-2(K);;;;;;;;;;;;FV103 Spartan;;
UA;Infantry Fighting Vehicles;Unknown BMP-1/2;;;;;;;;;;;;VAB;;
UA;Infantry Fighting Vehicles;PRP-3 with a BMD-2 turret;;;;;;;;;;;;Sisu XA-185;;
UA;Infantry Fighting Vehicles;PRP-3 with a BMP-1 turret;;;;;;;;;;;;M1126 Stryker;;
UA;Infantry Fighting Vehicles;BMD-2;;;;;;;;;;;;KrAZ-MPV Shrek One;;
UA;Infantry Fighting Vehicles;M2A2 Bradley ODS-SA;;;;;;;;;;;;KrAZ-Forpost;;
UA;Infantry Fighting Vehicles;CV9040C;;;;;;;;;;;;Alvis 4 'Mamba';;
UA;Infantry Fighting Vehicles;Marder 1A3;;;;;;;;;;;;Mastiff Protected Patrol;;
UA;Infantry Fighting Vehicles;BTR-3;;;;;;;;;;;;Wolfhound Protected Patrol;;
UA;Infantry Fighting Vehicles;BTR-4;;;;;;;;;;;;Bushmaster Protected Mobility Vehicle;;
UA;Infantry Fighting Vehicles;KTO Rosomak;;;;;;;;;;;;International M1224 MaxxPro;;
UA;Armoured Personnel Carriers;BTR-60PB;;;;;;;;;;;;Oshkosh M-ATV;;
UA;Armoured Personnel Carriers;BTR-70;;;;;;;;;;;;ATF Dingo;;
UA;Armoured Personnel Carriers;BTR-70M;;;;;;;;;;;;BMC Kirpi;;
UA;Armoured Personnel Carriers;BTR-7;;;;;;;;;;;;KrAZ Cobra;;
UA;Armoured Personnel Carriers;BTR-80;;;;;;;;;;;;KrAZ Cougar;;
UA;Armoured Personnel Carriers;BTR-80M;;;;;;;;;;;;KrAZ Spartan;;
UA;Armoured Personnel Carriers;BTR-D;;;;;;;;;;;;Novator;;
UA;Armoured Personnel Carriers;GT-MU AFV converted to APC;;;;;;;;;;;;Varta;;
UA;Armoured Personnel Carriers;Unknown BTR;;;;;;;;;;;;Kozak-2;;
UA;Armoured Personnel Carriers;YPR-765;;;;;;;;;;;;Kozak-2M1;;
UA;Armoured Personnel Carriers;M113;;;;;;;;;;;;Kozak-5;;
UA;Armoured Personnel Carriers;M113AS4;;;;;;;;;;;;Kozak-7;;
UA;Armoured Personnel Carriers;M113G3DK/G4DK;;;;;;;;;;;;Triton-1;;
UA;Armoured Personnel Carriers;FV103 Spartan;;;;;;;;;;;;M1114 and M1151 HMMWV;;
UA;Armoured Personnel Carriers;VAB;;;;;;;;;;;;M1152 HMMWV;;
UA;Armoured Personnel Carriers;Sisu XA-185;;;;;;;;;;;;M998 HMMWV;;
UA;Armoured Personnel Carriers;M1126 Stryker;;;;;;;;;;;;M1165 HMMWV;;
UA;Mine-Resistant Ambush Protected ;Vepr;;;;;;;;;;;;M1123 HMMWV;;
UA;Mine-Resistant Ambush Protected ;KrAZ-MPV Shrek One;;;;;;;;;;;;HMMWV Ambulance;;
UA;Mine-Resistant Ambush Protected ;KrAZ-Forpost;;;;;;;;;;;;Unknown HMMWVvariant;;
