weapon;platform
Radars ;L259(for Zoopark-1 counter-battery radar complex)
Radars ;1L261 (for 1L260 Zoopark-1M counter-battery radar complex)
Radars ;P-18T surveillance radar
Radars ;P-18-2 2D VHF surveillance radar
Radars ;Ya6-K1 Podlet-K1 low-altitude S-band surveillance radar
Radars ;1L119 Nebo-SVU VHF multi-functional radar
Radars ;Zh6U Nebo-U air surveillance radar
Radars ;RL239 Ark-1(M) counter-battery radar
Radars ;Predel coastal defence radar
Radars ;Unknown radar
Jammers And Deception Systems ;BMVjamming station
Jammers And Deception Systems ;R-330BMV and R-394BMV Borisoglebsk-2B
Jammers And Deception Systems ;R-330ZH Zhitel
Jammers And Deception Systems ;R-330M1P Diabazol
Jammers And Deception Systems ;R-934UM
Jammers And Deception Systems ;R-934B 'Sinitsa' automated jamming station
Jammers And Deception Systems ;1L262E Rtut-BM
Jammers And Deception Systems ;Torn(-MDM)
Jammers And Deception Systems ;Silok-01 counter-UAV system
Jammers And Deception Systems ;Strizh-3 counter-UAV system
Jammers And Deception Systems ;1RL257 Krasukha-4 (command post)
Jammers And Deception Systems ;Leer-2 electronic warfare system
Jammers And Deception Systems ;Leer-3 electronic warfare system
Jammers And Deception Systems ;RLK-MC-A (ROSC-1) counter-UAV system
Jammers And Deception Systems ;RB-636AM2 Svet-KU EW system
Jammers And Deception Systems ;Palantin EW system
Jammers And Deception Systems ;RP-377LA Lorandit
Jammers And Deception Systems ;Unknown EW system
Aircraft;MiG-31BM fighter aircraft
Aircraft;Su-30SM multirole aircraft
Aircraft;Su-35S multirole aircraft
Aircraft;Su-25 close air support aircraft
Aircraft;Su-24M strike aircraft
Aircraft;Su-24MR tactical reconnaissance aircraft
Aircraft;Su-24M/MR strike/tactical reconnaissance aircraft
Aircraft;Su-34 strike aircraft
Aircraft;Su-34M strike aircraft
Aircraft;Unknown fighter jet
Aircraft;Tu-22M3 strategic bomber
Aircraft;Tu-95MS strategic bomber
Aircraft;Il-22 airborne command post
Aircraft;An-26 transport aircraft
Aircraft;Il-76 transport aircraft
Helicopters;Mi-8 transport helicopter
Helicopters;Mi-8MTPR-1 electronic warfare helicopter
Helicopters;Mi-24P attack helicopter
Helicopters;Mi-24V/P/35M attack helicopter
Helicopters;Mi-35M attack helicopter
Helicopters;Mi-28 attack helicopter
Helicopters;Ka-52 Alligator attack helicopter
Helicopters;Unknown helicopter
Unmanned Combat Aerial Vehicles;Orion
Unmanned Combat Aerial Vehicles;Korsar
Unmanned Combat Aerial Vehicles;Forpost-RU
Unmanned Combat Aerial Vehicles;Mohajer-6
Unmanned Combat Aerial Vehicles;Orlan-10 UCAV
Unmanned Combat Aerial Vehicles;6
Reconnaissance Unmanned Aerial Vehicles;Forpost
Reconnaissance Unmanned Aerial Vehicles;Orlan-10
Reconnaissance Unmanned Aerial Vehicles;Orlan-10 jamming UAV
Reconnaissance Unmanned Aerial Vehicles;'Orlan-20' ''Kartograf''
Reconnaissance Unmanned Aerial Vehicles;Orlan-30
Reconnaissance Unmanned Aerial Vehicles;Granat-3
Reconnaissance Unmanned Aerial Vehicles;Granat-4
Reconnaissance Unmanned Aerial Vehicles;Eleron-3
Reconnaissance Unmanned Aerial Vehicles;Eleron-3SV
Reconnaissance Unmanned Aerial Vehicles;Eleron-10
Reconnaissance Unmanned Aerial Vehicles;Eleron T28ME
Reconnaissance Unmanned Aerial Vehicles;Takhion
Reconnaissance Unmanned Aerial Vehicles;ZALA 421-16Е
Reconnaissance Unmanned Aerial Vehicles;ZALA 421-16ЕM
Reconnaissance Unmanned Aerial Vehicles;Merlin-VR
Reconnaissance Unmanned Aerial Vehicles;Lastochka-M
Reconnaissance Unmanned Aerial Vehicles;Supercam S150
Reconnaissance Unmanned Aerial Vehicles;Supercam S350
Reconnaissance Unmanned Aerial Vehicles;Grifon-12
Naval Shipsand Submarines ;Project 1164 Slava-class guided missile cruiser
Naval Shipsand Submarines ;Project 636.3 Improved Kilo-class submarine
Naval Shipsand Submarines ;Project 03160 Raptor-class patrol boat
Naval Shipsand Submarines ;Project 02510 BK-16E high-speed assault boat
Naval Shipsand Submarines ;Project 640 small patrol boat
Naval Shipsand Submarines ;Project 1171 Tapir-class landing ship
Naval Shipsand Submarines ;Project 775 Ropucha-class landing ship
Naval Shipsand Submarines ;Project 11770 Serna-class landing craft
Naval Shipsand Submarines ;Project 22870 rescue tug
Naval Shipsand Submarines ;Project 266M Natya-class minesweeper
Trucks, Vehicles, and Jeeps;GAZ-51
Trucks, Vehicles, and Jeeps;GAZ-66
Trucks, Vehicles, and Jeeps;KrAZ-255B
Trucks, Vehicles, and Jeeps;KrAZ-255B tanker
Trucks, Vehicles, and Jeeps;KrAZ-260 tanker
Trucks, Vehicles, and Jeeps;ZiL-131
Trucks, Vehicles, and Jeeps;ZiL-131 tanker
Trucks, Vehicles, and Jeeps;F77M transloading vehicle for 2K22M Tunguska-M
Trucks, Vehicles, and Jeeps;9T217 transloader (for 9K33 Osa)
Trucks, Vehicles, and Jeeps;9T244 transloader (for 9A330/1 Tor)
Trucks, Vehicles, and Jeeps;Truck-based support equipment (for S-400)
Trucks, Vehicles, and Jeeps;GAZ-3308
Trucks, Vehicles, and Jeeps;GAZ Sobol
Trucks, Vehicles, and Jeeps;Ural-375D
Trucks, Vehicles, and Jeeps;Ural-375D tanker
Trucks, Vehicles, and Jeeps;Ural-4320
Trucks, Vehicles, and Jeeps;Ural-4320 tanker
Trucks, Vehicles, and Jeeps;Ural Avtozaks
Trucks, Vehicles, and Jeeps;Ural-43206
Trucks, Vehicles, and Jeeps;Ural Federal
Trucks, Vehicles, and Jeeps;Ural-5323
Trucks, Vehicles, and Jeeps;Ural-63704-0010 Tornado-U
Trucks, Vehicles, and Jeeps;Ural-542301 tank transporter
Trucks, Vehicles, and Jeeps;Ural-63501-AT
Trucks, Vehicles, and Jeeps;MAZ TZ-500 tanker
Trucks, Vehicles, and Jeeps;MAZ 531605 tanker
Trucks, Vehicles, and Jeeps;KamAZ 4x4
Trucks, Vehicles, and Jeeps;KamAZ 6x4
Trucks, Vehicles, and Jeeps;KamAZ 6x6
Trucks, Vehicles, and Jeeps;KamAZ 6x6 tanker
Trucks, Vehicles, and Jeeps;KamAZ 8x8
Trucks, Vehicles, and Jeeps;KamAZ 8x8 tanker
Trucks, Vehicles, and Jeeps;KamAZ Avtozaks
Trucks, Vehicles, and Jeeps;KamAZ-5350 with armoured cabin
Trucks, Vehicles, and Jeeps;KamAZ with MM-501 armoured cabin
Trucks, Vehicles, and Jeeps;KamAZ-6350 8x8 artillery tractor
Trucks, Vehicles, and Jeeps;KamAZ tank low-loader
Trucks, Vehicles, and Jeeps;KamAZ 'Gorets' 3958
Trucks, Vehicles, and Jeeps;UAZ-469 jeep
Trucks, Vehicles, and Jeeps;UAZ-452 van
Trucks, Vehicles, and Jeeps;UAZ-3303
Trucks, Vehicles, and Jeeps;LuAZ-969
Trucks, Vehicles, and Jeeps;UAZ-3151
Trucks, Vehicles, and Jeeps;UAZ-31514
Trucks, Vehicles, and Jeeps;UAZ-394511 ‘Esaul’
Trucks, Vehicles, and Jeeps;UAZ-515195 'Esaul'
Trucks, Vehicles, and Jeeps;UAZ-39094
Trucks, Vehicles, and Jeeps;Unknown fuel tanker
Trucks, Vehicles, and Jeeps;(Unknown) truck
Trucks, Vehicles, and Jeeps;(Unknown) vehicle
Tanks;M-55S
Tanks;T-64B
Tanks;T-64BV Zr. 2017
Tanks;T-64B1M
Tanks;T-64BM 'Bulat'
Tanks;T-64BM2 'Bulat'
Tanks;Unknown T-64
Tanks;T-72M/M1(R)
Tanks;T-72EA
Tanks;T-72AMT
Tanks;T-72AMT Zr.2022
Tanks;PT-91 Twardy
Tanks;Leopard 2A4
Tanks;Leopard 2A6
Tanks;Stridsvagn 122
Tanks;Challenger 2
Armoured Fighting Vehicles;AMX-10 RC(R)
Armoured Fighting Vehicles;BRDM-2L1
Armoured Fighting Vehicles;Vepr
Armoured Fighting Vehicles;MT-LB with BPU-1 turret
Armoured Fighting Vehicles;MT-LB with 85mm D-44 gun
Armoured Fighting Vehicles;BTS-4 ARV with ZU-23 AA gun
Armoured Fighting Vehicles;MT-LB-S Ambulance
Armoured Fighting Vehicles;BMM-70 Ambulance
Armoured Fighting Vehicles;BMM-4C Ambulance
Infantry Fighting Vehicles;BMP-1TS
Infantry Fighting Vehicles;BMP-1U Shkval
Infantry Fighting Vehicles;BWP-1
Infantry Fighting Vehicles;Pbv 501A
Infantry Fighting Vehicles;BVP M-80A
Infantry Fighting Vehicles;PRP-3 with a BMD-2 turret
Infantry Fighting Vehicles;PRP-3 with a BMP-1 turret
Infantry Fighting Vehicles;M2A2 Bradley ODS-SA
Infantry Fighting Vehicles;CV9040C
Infantry Fighting Vehicles;Marder 1A3
Infantry Fighting Vehicles;BTR-3
Infantry Fighting Vehicles;BTR-4
Infantry Fighting Vehicles;KTO Rosomak
Armoured Personnel Carriers;BTR-7
Armoured Personnel Carriers;BTR-80M
Armoured Personnel Carriers;GT-MU AFV converted to APC
Armoured Personnel Carriers;Unknown BTR
Armoured Personnel Carriers;YPR-765
Armoured Personnel Carriers;M113
Armoured Personnel Carriers;M113AS4
Armoured Personnel Carriers;M113G3DK/G4DK
Armoured Personnel Carriers;FV103 Spartan
Armoured Personnel Carriers;VAB
Armoured Personnel Carriers;Sisu XA-185
Armoured Personnel Carriers;M1126 Stryker
Mine-Resistant Ambush Protected ;Vepr
Mine-Resistant Ambush Protected ;KrAZ-MPV Shrek One
Mine-Resistant Ambush Protected ;KrAZ-Forpost
Mine-Resistant Ambush Protected ;Alvis 4 'Mamba'
Mine-Resistant Ambush Protected ;Mastiff Protected Patrol
Mine-Resistant Ambush Protected ;Wolfhound Protected Patrol
Mine-Resistant Ambush Protected ;Bushmaster Protected Mobility Vehicle
Mine-Resistant Ambush Protected ;International M1224 MaxxPro
Mine-Resistant Ambush Protected ;Oshkosh M-ATV
Mine-Resistant Ambush Protected ;ATF Dingo
Mine-Resistant Ambush Protected ;BMC Kirpi
Infantry Mobility Vehicles;KrAZ Cobra
Infantry Mobility Vehicles;KrAZ Cougar
Infantry Mobility Vehicles;KrAZ Spartan
Infantry Mobility Vehicles;Novator
Infantry Mobility Vehicles;Varta
Infantry Mobility Vehicles;Kozak-2
Infantry Mobility Vehicles;Kozak-2M1
Infantry Mobility Vehicles;Kozak-5
Infantry Mobility Vehicles;Kozak-7
Infantry Mobility Vehicles;Triton-1
Infantry Mobility Vehicles;M1114 and M1151 HMMWV
Infantry Mobility Vehicles;M1152 HMMWV
Infantry Mobility Vehicles;M998 HMMWV
Infantry Mobility Vehicles;M1165 HMMWV
Infantry Mobility Vehicles;M1123 HMMWV
Infantry Mobility Vehicles;HMMWV Ambulance
Infantry Mobility Vehicles;Unknown HMMWVvariant
Infantry Mobility Vehicles;AT105A Saxon
Infantry Mobility Vehicles;Husky Tactical Support Vehicle
Infantry Mobility Vehicles;Iveco LMV
Infantry Mobility Vehicles;MLS Shield
Infantry Mobility Vehicles;INKAS Titan-S
Infantry Mobility Vehicles;Panthera T6
Infantry Mobility Vehicles;Roshel Senator
Infantry Mobility Vehicles;AMZ Dzik-2
Infantry Mobility Vehicles;Oncilla
Infantry Mobility Vehicles;Unknown IMV
Command Posts And Communications Stations ;K1Sh1 command and staff vehicle
Command Posts And Communications Stations ;R-142N command and staff vehicle
Command Posts And Communications Stations ;BTR-70DI-02 'Svityaz' command and staff vehicle
Command Posts And Communications Stations ;BTR-60PU-12 air defence command vehicle
Command Posts And Communications Stations ;R-409A radio station vehicle
Command Posts And Communications Stations ;R-405M radio station vehicle
Command Posts And Communications Stations ;S470M1 command vehicle for Buk-M1
Command Posts And Communications Stations ;R-845 radio station
Command Posts And Communications Stations ;ZiL-131-based KShM KUNG command vehicle
Command Posts And Communications Stations ;Radio relay station for the TB2 UCAV
Command Posts And Communications Stations ;Control station for the TB2 UCAV
Command Posts And Communications Stations ;SkyGuard Aspide control station
Engineering Vehicles And Equipment ;IMR-2 combat engineering vehicle
Engineering Vehicles And Equipment ;BMR-2 mine-clearing tank
Engineering Vehicles And Equipment ;UR-77 Meteorit
Engineering Vehicles And Equipment ;T-64 mine-clearing tank
Engineering Vehicles And Equipment ;Leopard 2R mine-clearing tank
Engineering Vehicles And Equipment ;Wisent 1 mine-clearing tank
Engineering Vehicles And Equipment ;MT-T multi-purpose tracked transporter
Engineering Vehicles And Equipment ;IRM 'Zhuk' engineer reconnaissance vehicle
Engineering Vehicles And Equipment ;RKhM 'Kashalot'
Engineering Vehicles And Equipment ;M88A1armoured recovery vehicle
Engineering Vehicles And Equipment ;Bergepanzer 2 armoured recovery vehicle
Engineering Vehicles And Equipment ;Bergepanzer 3 armoured recovery vehicle
Engineering Vehicles And Equipment ;M1132 Stryker Engineering Squad Vehicle
Engineering Vehicles And Equipment ;TMM-3M1 bridge layer
Engineering Vehicles And Equipment ;KrAZ-255B pontoon bridge layer
Engineering Vehicles And Equipment ;KrAZ-255B with KS-3575 crane
Engineering Vehicles And Equipment ;KrAZ-6322 Master mobile workshop
Engineering Vehicles And Equipment ;UMP-350 engine heater
