indice;owner;origen;weapon;platform;total;number;Status;url;primary_key_base;primary_key_new;;owner;origen;weapon;platform;total;number;Status;url
9245;RU;['Russia'];Surface-To-Air Missile Systems ;9A310M1-2 TELAR;1;9;['destroyed'];https://i.postimg.cc/nh5CVn46/1022-9-A310-M1-2-destr-09-04-23.jpg;_e5fbc643dcee7fc0c3e6;_cb26aeef78a4b7cff6d6;9244;RU;['Russia'];Surface-To-Air Missile Systems ;-2);1;9;['destroyed'];https://i.postimg.cc/nh5CVn46/1022-9-A310-M1-2-destr-09-04-23.jpg
9246;RU;['Russia'];Surface-To-Air Missile Systems ;9A310M1-2 TELAR;1;10;['destroyed'];https://i.postimg.cc/9f9nH74S/1038-9-A310-M1-2-destr-19-07-23.png;_259f899f35d2031e6889;_2fe78f181f4a384d791b;9245;RU;['Russia'];Surface-To-Air Missile Systems ;-2);1;10;['destroyed'];https://i.postimg.cc/9f9nH74S/1038-9-A310-M1-2-destr-19-07-23.png
9247;RU;['Russia'];Surface-To-Air Missile Systems ;9A310M1-2 TELAR;1;11;['destroyed'];https://i.postimg.cc/T1PbxkBg/1001-9-A310-M1-2-destr-25-07-23.jpg;_3d0257b544b2f4a90d11;_2094252415e6dd17da9b;9246;RU;['Russia'];Surface-To-Air Missile Systems ;-2);1;11;['destroyed'];https://i.postimg.cc/T1PbxkBg/1001-9-A310-M1-2-destr-25-07-23.jpg
9248;RU;['Russia'];Surface-To-Air Missile Systems ;9A310M1-2 TELAR;1;1;['damaged'];https://i.postimg.cc/DZXDG2k3/779.png;_cc0c499ab4d89f86199c;_40424f723472c17e7fe1;9247;RU;['Russia'];Surface-To-Air Missile Systems ;-2);1;1;['damaged'];https://i.postimg.cc/DZXDG2k3/779.png
9249;RU;['Russia'];Surface-To-Air Missile Systems ;9A310M1-2 TELAR;1;2;['damaged'];https://i.postimg.cc/13gLvvv6/1031-9-A310-M1-2-dam-04-06-23.jpg;_6bc44a57505735eb8582;_080d5149f7431c3936e3;9248;RU;['Russia'];Surface-To-Air Missile Systems ;-2);1;2;['damaged'];https://i.postimg.cc/13gLvvv6/1031-9-A310-M1-2-dam-04-06-23.jpg
9250;RU;['Russia'];Surface-To-Air Missile Systems ;9A310M1-2 TELAR;1;3;['damaged'];https://i.postimg.cc/MG76ZRCY/1016-buk-dam-04-08-23.jpg;_a95b7127ca860a8156c6;_1f99019e0b68e223d2b0;9249;RU;['Russia'];Surface-To-Air Missile Systems ;-2);1;3;['damaged'];https://i.postimg.cc/MG76ZRCY/1016-buk-dam-04-08-23.jpg
9256;RU;['Russia'];Surface-To-Air Missile Systems ;9A317 TELAR;2;1;['destroyed'];https://i.postimg.cc/02Xp3ZcM/1015.jpg;_7d11902ce593f8fad37e;_a392976a83ce56a99ff6;9255;RU;['Russia'];Surface-To-Air Missile Systems ;);2;1;['destroyed'];https://i.postimg.cc/02Xp3ZcM/1015.jpg
9257;RU;['Russia'];Surface-To-Air Missile Systems ;9A317 TELAR;2;2;['destroyed'];https://i.postimg.cc/44FRHhP5/456.png;_454a0a0ffc947193a552;_667e1acad172cdeadea8;9256;RU;['Russia'];Surface-To-Air Missile Systems ;);2;2;['destroyed'];https://i.postimg.cc/44FRHhP5/456.png
9258;RU;['Russia'];Surface-To-Air Missile Systems ;9A317 TELAR;2;3;['destroyed'];https://i.postimg.cc/Ssmvwcc0/4378.png;_e9e922aef23edca804cd;_fc493be06430e57f32be;9257;RU;['Russia'];Surface-To-Air Missile Systems ;);2;3;['destroyed'];https://i.postimg.cc/Ssmvwcc0/4378.png
9259;RU;['Russia'];Surface-To-Air Missile Systems ;9A317 TELAR;2;4;['destroyed'];https://i.postimg.cc/9FyFD1Sr/42d.png;_c9b150fe1f3562f38f7a;_9dd2a5a7c8166b577cdc;9258;RU;['Russia'];Surface-To-Air Missile Systems ;);2;4;['destroyed'];https://i.postimg.cc/9FyFD1Sr/42d.png
